sigma,step,mean_divergence,std_divergence
0.001,0,0.009999999776482582,0.0
0.001,1,0.009487513825297356,2.327802825344944e-05
0.001,2,0.00902201272547245,8.38038803871523e-06
0.001,3,0.008876380184665323,3.469809529315462e-05
0.001,4,0.008984732162207364,7.281864192447585e-05
0.001,5,0.008993811765685677,8.731547117018003e-05
0.001,6,0.008707443391904235,0.00011784201504613324
0.001,7,0.008233954943716527,0.0001145843029824109
0.001,8,0.007717542536556721,8.493381992940003e-05
0.001,9,0.0072750105988234285,7.021735355737047e-05
0.001,10,0.006994714331813157,6.600116173713923e-05
0.001,11,0.006844157446175813,6.722378729990698e-05
0.001,12,0.00674702413380146,8.140269240632824e-05
0.001,13,0.0065820491407066585,9.028129267812095e-05
0.001,14,0.006268561445176601,7.729497908099145e-05
0.001,15,0.0058729465585201975,6.639212755462097e-05
0.001,16,0.005473851319402456,5.71832205141582e-05
0.001,17,0.005146959563717246,5.19137386462232e-05
0.001,18,0.004883304238319397,7.460710235258271e-05
0.001,19,0.004651089035905898,0.00010630668898614481
0.001,20,0.004390930547378958,9.78218459551257e-05
0.001,21,0.004108562902547419,7.5007859442272e-05
0.001,22,0.003836943430360407,5.6399773080181244e-05
0.001,23,0.0036420090240426362,6.490134327446882e-05
0.001,24,0.0035256969276815653,7.74621677270918e-05
0.001,25,0.0034678141702897845,7.914128845824745e-05
0.001,26,0.0034399072057567535,9.574311622907202e-05
0.001,27,0.003414919856004417,0.00011361602041238475
0.001,28,0.0033675851533189415,0.00013001906756573915
0.001,29,0.0032755098887719213,0.00014023537826471046
0.001,30,0.0031144361826591195,0.00012876300993410107
0.001,31,0.00292654832592234,0.0001037212019321484
0.001,32,0.0027943529188632966,7.896100594631997e-05
0.001,33,0.0027203770121559502,0.00010007028045139118
0.001,34,0.0026740522705949845,0.00013150576227564527
0.001,35,0.002643859339877963,0.00010245429114643527
0.001,36,0.0025810132850892843,0.00010754136340104518
0.001,37,0.002496586926281452,8.64173863920191e-05
0.001,38,0.0024281112710013986,6.913085362819151e-05
0.001,39,0.0023881476605311035,7.285499138945724e-05
0.001,40,0.002377605065703392,6.0633163181823306e-05
0.001,41,0.0023647022899240255,5.721950136039005e-05
0.001,42,0.0023346001049503683,5.756571574388186e-05
0.001,43,0.002297337108757347,5.7877701218864e-05
0.001,44,0.0022618242539465426,5.753557039483297e-05
0.001,45,0.0022302959929220378,6.244342798646545e-05
0.001,46,0.0021894801990129053,6.936566022245644e-05
0.001,47,0.002140832447912544,6.509691742907589e-05
0.001,48,0.002113752835430205,7.025686359959e-05
0.001,49,0.0021049936884082856,8.273513966449771e-05
0.001,50,0.0021051323332358153,0.0001071874032093612
0.001,51,0.0020951525191776456,0.00012556556523780294
0.001,52,0.002061243436764926,0.00010299018366892032
0.001,53,0.0020212606817949564,9.347455451589642e-05
0.001,54,0.0019876926206052305,8.583442307052744e-05
0.001,55,0.0019617989542894065,8.428070246865384e-05
0.001,56,0.0019387429172638803,9.578883711797747e-05
0.001,57,0.0019201330898795277,9.563602659456215e-05
0.001,58,0.0018944252864457668,8.784806030839516e-05
0.001,59,0.0018613382067997008,7.882884478888241e-05
0.001,60,0.001833101420197636,7.388557778457015e-05
0.001,61,0.0018185122637078166,7.379039200031475e-05
0.001,62,0.0018138384562917053,7.494421012808773e-05
0.001,63,0.001802922523347661,7.41131221710097e-05
0.001,64,0.0017772402032278478,7.683050532075145e-05
0.001,65,0.0017539989203214645,8.33238392933094e-05
0.001,66,0.0017400855896994472,8.778229095167673e-05
0.001,67,0.001724878652021289,8.039626190500786e-05
0.001,68,0.0017139594303444028,8.765548879568691e-05
0.001,69,0.0016991280019283295,8.976037884194507e-05
0.001,70,0.0016752242052461952,7.868732687390682e-05
0.001,71,0.001647180743748322,6.925198551817945e-05
0.001,72,0.0016272371693048626,7.98219655645735e-05
0.001,73,0.0016109315387438984,8.15437046207517e-05
0.001,74,0.0015862745931372046,6.69753463641722e-05
0.001,75,0.0015669808955863119,6.86088116782921e-05
0.001,76,0.001553024008171633,7.151428633369256e-05
0.001,77,0.0015470257785636932,8.350497902125346e-05
0.001,78,0.0015522541129030288,0.00010964951703011388
0.001,79,0.0015629205154255033,0.00012433781705216678
0.001,80,0.001548113999888301,0.00012349591289765918
0.001,81,0.0015106789127457888,0.00010717371944347504
0.001,82,0.00148365757195279,9.556948419936565e-05
0.001,83,0.0014791110472287983,0.00010818459043018057
0.001,84,0.0014686808630358429,0.00011626833713972857
0.001,85,0.001447492855368182,9.817211553569975e-05
0.001,86,0.0014419446932151913,9.013807903369377e-05
0.001,87,0.0014456651813816279,9.530757830896811e-05
0.001,88,0.00143171829986386,0.00010235498683006168
0.001,89,0.0014098805375397205,0.00010913530960477848
0.001,90,0.0013977158756460994,0.0001038414814342571
0.001,91,0.001386815164005384,9.476243414344096e-05
0.001,92,0.0013778806489426643,9.3259968003319e-05
0.001,93,0.0013705959543585777,0.00011449417431411569
0.001,94,0.0013538206287194044,0.0001139397219076322
0.001,95,0.0013412405212875455,8.310889470985124e-05
0.001,96,0.0013161535316612571,8.028475760008279e-05
0.001,97,0.0012960276042576879,9.528389234200416e-05
0.001,98,0.0012765667808707804,6.871254457579725e-05
0.001,99,0.0012664101086556911,5.784746836151479e-05
0.001,100,0.0012559588998556138,6.368552906337149e-05
0.001,101,0.001244671770837158,7.38687162199737e-05
0.001,102,0.0012421235791407526,6.358680778156174e-05
0.001,103,0.0012254629167728127,4.668167674898997e-05
0.001,104,0.0012110029289033263,6.068034406869139e-05
0.001,105,0.0012021524540614336,7.606068427032917e-05
0.001,106,0.0011980386450886726,8.12727872621757e-05
0.001,107,0.001192504510981962,8.035417321371957e-05
0.001,108,0.0011912135640159249,7.913707244432017e-05
0.001,109,0.0011836979887448252,9.111950220267328e-05
0.001,110,0.0011706324934493751,0.00010284079887141842
0.001,111,0.0011592650611419232,8.848600062758986e-05
0.001,112,0.001162890496198088,7.5266139760868e-05
0.001,113,0.0011698615329805762,9.979752101003802e-05
0.001,114,0.0011683972319588066,0.0001282837127911364
0.001,115,0.0011478451371658594,0.00013382282718645485
0.001,116,0.001124118035659194,9.558379586220183e-05
0.001,117,0.0011051280045649037,8.268607561260286e-05
0.001,118,0.0010946517111733555,8.851016691285962e-05
0.001,119,0.0010846063698409126,9.932858382637896e-05
0.001,120,0.0010864327603485435,8.888246500416668e-05
0.001,121,0.001085579505888745,9.243904287936274e-05
0.001,122,0.0010829134873347357,0.00010299816667572419
0.001,123,0.0010767133149784057,0.00010253887200940377
0.001,124,0.0010639806627295912,9.148523535071477e-05
0.001,125,0.0010429286456201225,7.657524360972699e-05
0.001,126,0.0010250576568068936,7.45341543678281e-05
0.001,127,0.0010060007916763425,6.97005294742797e-05
0.001,128,0.0010074613644974306,8.561480413107357e-05
0.001,129,0.0010184307990130036,8.613395488489241e-05
0.001,130,0.0010076035221572965,8.970654980644017e-05
0.001,131,0.0009887760592391715,8.010981592192779e-05
0.001,132,0.0009923922218149528,7.912309535127726e-05
0.001,133,0.000987885848735459,9.161228319019066e-05
0.001,134,0.0009848753456026317,7.935316285701003e-05
0.001,135,0.0009914984344504773,0.00010789056687218965
0.001,136,0.0009879373799776658,0.0001178376868967775
0.001,137,0.0009743469214299694,0.00012981547080725858
0.001,138,0.0009706538403406739,0.00014859469954335493
0.001,139,0.0009738564025610685,0.0001393835663030919
0.001,140,0.0009642213874030859,0.00012312984112019124
0.001,141,0.0009400246548466384,8.878191159972185e-05
0.001,142,0.0009363307937746868,8.41788801991917e-05
0.001,143,0.0009431246755411849,0.0001055080493054152
0.001,144,0.0009401369548868388,0.00011486817482488925
0.001,145,0.0009206154238199816,0.00010585618695615218
0.001,146,0.0008992384828161448,7.99159179636295e-05
0.001,147,0.0008951984695158899,6.265385020322907e-05
0.001,148,0.0008945675974246115,8.721753800673248e-05
0.001,149,0.0008841200469760224,0.00010137407829729494
0.001,150,0.0008674474345752969,8.056139673926132e-05
0.001,151,0.0008575450512580574,5.574887948856484e-05
0.001,152,0.0008439164201263338,7.233522495840945e-05
0.001,153,0.0008425196894677356,8.078059183471517e-05
0.001,154,0.0008455871342448517,8.366018885666689e-05
0.001,155,0.0008426992426393554,9.251357717727376e-05
0.001,156,0.0008355204568943009,9.586758729647443e-05
0.001,157,0.0008278497960418462,0.00010682860224775206
0.001,158,0.000835242256289348,8.906594161248625e-05
0.001,159,0.000840455133584328,9.606209648940649e-05
0.001,160,0.000809721095720306,9.748934645830985e-05
0.001,161,0.000777608944918029,7.489296750979262e-05
0.001,162,0.0007785593770677224,7.807308519709354e-05
0.001,163,0.0008078631683019922,0.000108489774312404
0.001,164,0.0008217413123929873,0.0001349030011029755
0.001,165,0.000801046213018708,0.00013158383581241765
0.001,166,0.0007647466991329566,9.097671047466742e-05
0.001,167,0.0007625485071912408,8.191850944124427e-05
0.001,168,0.0007842444989364594,8.370105892924925e-05
0.001,169,0.0007796446996508166,0.00010916309453614559
0.001,170,0.0007516494457377121,0.00011926515986662943
0.001,171,0.0007244150183396414,9.317731740110368e-05
0.001,172,0.0007194183795945719,7.939712184091885e-05
0.001,173,0.0007227729103760794,8.127983776483967e-05
0.001,174,0.0007106795528670773,7.982069624562745e-05
0.001,175,0.0006974351330427453,7.485073188661482e-05
0.001,176,0.0007179685664596037,7.370679830582032e-05
0.001,177,0.0007306327723199501,8.100252179282842e-05
0.001,178,0.0007130248384783044,9.085825511779003e-05
0.001,179,0.0006824586977018044,9.317983090076103e-05
0.001,180,0.0006699023651890457,8.490321712062249e-05
0.001,181,0.0006686228327453137,7.698502485319284e-05
0.001,182,0.0006762020842870697,8.410554562854066e-05
0.001,183,0.0006698812736431137,8.69788665082823e-05
0.001,184,0.0006695204181596636,9.072556515132577e-05
0.001,185,0.0006731386703904719,9.778414373452175e-05
0.001,186,0.0006680645805317908,7.754007386219566e-05
0.001,187,0.0006489685736596584,0.00010012921279080761
0.001,188,0.0006224102544365451,0.00010147791617605217
0.001,189,0.0006091364761232398,8.742034562513573e-05
0.001,190,0.000621094327652827,9.282591969003705e-05
0.001,191,0.0006439610151574016,9.864050304325579e-05
0.001,192,0.0006307931471383199,6.629130595303566e-05
0.001,193,0.0006293760452535935,7.176724297183374e-05
0.001,194,0.0006496755057014525,8.564992219486234e-05
0.001,195,0.0006662962143309415,0.00011506488827311458
0.001,196,0.0006674029864370823,0.00010533234464823283
0.001,197,0.0006508335849503055,9.181452354816261e-05
0.001,198,0.000617208520998247,7.689123775781657e-05
0.001,199,0.0005925108533119782,9.04550627778774e-05
0.001,200,0.0005920085473917425,0.00010482618846411836
0.001,201,0.0005946679346379824,9.402274007920555e-05
0.001,202,0.0005815022930619306,8.334790758969052e-05
0.001,203,0.0005736239094403572,8.082393022096706e-05
0.001,204,0.0005756310405558906,9.68518862544161e-05
0.001,205,0.0005758766157669016,0.00011062794257800616
0.001,206,0.0005767100970842876,9.626306740799098e-05
0.001,207,0.0005690999067155644,9.132983243665912e-05
0.001,208,0.0005630980114801787,0.00010050909067556674
0.001,209,0.0005732802543207072,0.00013566600092207096
0.001,210,0.0005994096442009323,0.00016383545214843299
0.001,211,0.0006149326960439794,0.00015186517100050816
0.001,212,0.0006054646655684337,9.995765624326994e-05
0.001,213,0.000594177033053711,0.00010658337055461362
0.001,214,0.0005751063275965862,0.00010544928165897857
0.001,215,0.000549900766054634,5.652643127256506e-05
0.001,216,0.000546555382607039,8.237982662502443e-05
0.001,217,0.0005554306306294165,9.864336991457263e-05
0.001,218,0.000563230155967176,0.0001081526635373816
0.001,219,0.0005419715438620187,0.00012280846536977036
0.001,220,0.0005227589746937156,9.961847263489182e-05
0.001,221,0.0005219173777732067,7.072088792672446e-05
0.001,222,0.0005270048612146638,8.220035523891296e-05
0.001,223,0.000545272690942511,0.00012347275377707785
0.001,224,0.0005482837834279053,0.0001448289129486401
0.001,225,0.0005417661799583584,0.00012453915262743685
0.001,226,0.0005244022831902839,0.00011587318110641668
0.001,227,0.0005171178418095224,0.00010659418018719558
0.001,228,0.0005206083122175186,0.00011932466552303837
0.001,229,0.0005369402701035142,0.00011051608907776552
0.001,230,0.0005604487741948105,0.00011924641333661998
0.001,231,0.0005693958766642027,0.0001270123510199842
0.001,232,0.0005492364201927557,0.00014344118284437412
0.001,233,0.000533584807999432,0.00015828401788990504
0.001,234,0.0005325263395207003,0.0001091075225218661
0.001,235,0.0005280175595544278,0.00011007040157877395
0.001,236,0.0005184942841879092,0.00012995438550137813
0.001,237,0.0005052448570495472,0.0001280033947386645
0.001,238,0.0004940248167258687,0.00011976504007062804
0.001,239,0.0005114648418384604,0.00012155200782582543
0.001,240,0.0005136316904099658,0.00013931361069599604
0.001,241,0.0005174794598133304,0.00011427707907995743
0.001,242,0.0005068976257462055,0.00010974821922059816
0.001,243,0.0005146845578565262,0.00012469229337168472
0.001,244,0.0005243407897069119,0.00015233156132105638
0.001,245,0.0005162154164281673,0.00015193118640027136
0.001,246,0.00048657746956450867,0.00013778576212803562
0.001,247,0.00046201021468732505,0.00010623789495965751
0.001,248,0.0004667873465223238,8.216606384365741e-05
0.001,249,0.00045773826423101127,0.00012535048520144801
0.001,250,0.00047158882225630807,0.00013991865770719253
0.005,0,0.009999999776482582,0.0
0.005,1,0.009495379775762558,8.809361626085072e-05
0.005,2,0.009032583376392723,4.4256032767207036e-05
0.005,3,0.008828779542818665,0.0001392047907116171
0.005,4,0.00877952966839075,0.0002415184796315089
0.005,5,0.008720733737573028,0.00030710372691336325
0.005,6,0.00851628272794187,0.0003588752274355923
0.005,7,0.008170151733793318,0.00040569363415586404
0.005,8,0.007769679441116751,0.0003351185045025886
0.005,9,0.007385297957807779,0.00030206959630333714
0.005,10,0.007073710905387998,0.00031274640207238535
0.005,11,0.006893249368295074,0.0003634433977975689
0.005,12,0.006771454308182001,0.00041328067165212067
0.005,13,0.006625311984680593,0.0004306039460274094
0.005,14,0.00638190011959523,0.0004292208279890049
0.005,15,0.006058046664111316,0.0004273036490614482
0.005,16,0.005689977435395122,0.000392106905508138
0.005,17,0.005310678877867759,0.0003408405424545253
0.005,18,0.0050094574457034465,0.00033754471705135737
0.005,19,0.004807026730850339,0.0003705416108406431
0.005,20,0.004639428108930588,0.0003700893587315209
0.005,21,0.004435125726740807,0.0003798743232270306
0.005,22,0.004235071432776749,0.0003711330342912512
0.005,23,0.004021803161595017,0.0003387106821152036
0.005,24,0.00387518658535555,0.00036548542768300677
0.005,25,0.003754426201339811,0.00042894857134024195
0.005,26,0.0036251200712285937,0.00041082339044771517
0.005,27,0.0035401895991526546,0.0004105587904488741
0.005,28,0.0034903360647149384,0.000384828915276591
0.005,29,0.0034524231450632215,0.00042953742661602524
0.005,30,0.0034099690383300185,0.0004646757923400375
0.005,31,0.0033284506876952945,0.0004958683282447359
0.005,32,0.0032461665919981896,0.0004468211138403345
0.005,33,0.003144485363736749,0.0004030027708302007
0.005,34,0.0030446116928942502,0.00045307806081620834
0.005,35,0.0029691839357838035,0.0005246812115872121
0.005,36,0.002971802942920476,0.0004881919930812257
0.005,37,0.0029820955358445646,0.0004812314488393838
0.005,38,0.003002105874475092,0.0005133279589998931
0.005,39,0.0029571410967037083,0.00047491776250263785
0.005,40,0.0029081688146106897,0.0004860479012250262
0.005,41,0.0028628524276427926,0.0005006354427002145
0.005,42,0.002867478225380182,0.0005060914218028039
0.005,43,0.002894382388330996,0.0004761290556799013
0.005,44,0.0028976804576814176,0.0004671980580110728
0.005,45,0.00288627406116575,0.00048105559895207114
0.005,46,0.0028518712846562267,0.0004960589889326394
0.005,47,0.002788134233560413,0.0004996197450703188
0.005,48,0.0027489599422551693,0.0005128547624574511
0.005,49,0.002761369582731277,0.0004693746202852262
0.005,50,0.0027596097090281544,0.0004205015041090827
0.005,51,0.0027526520891115068,0.0004323092192564558
0.005,52,0.0027236516820266844,0.0004279760762143262
0.005,53,0.0027234161854721604,0.0004270673825514942
0.005,54,0.00272685214295052,0.0004767237056002513
0.005,55,0.002750623703468591,0.0005029814016227595
0.005,56,0.0027288533630780874,0.00046937971399146845
0.005,57,0.002696871914668009,0.00047382641511995864
0.005,58,0.002641587145626545,0.0004954167048966555
0.005,59,0.0025735387054737656,0.0005163871871414404
0.005,60,0.0025238305912353098,0.0004902137080071407
0.005,61,0.002517988288309425,0.00046197539646421714
0.005,62,0.002518430509371683,0.00045340643427695473
0.005,63,0.002500734117347747,0.0004904443057497759
0.005,64,0.0024555290932767094,0.0005058317856293848
0.005,65,0.002408147038659081,0.0004626383196911357
0.005,66,0.0023648342641536145,0.0004524134456169361
0.005,67,0.0023443123034667225,0.0004657277258012734
0.005,68,0.00236330158659257,0.0004980881699260537
0.005,69,0.002352287998655811,0.0004978537422032726
0.005,70,0.002345472382148728,0.00046119392655925276
0.005,71,0.0023315885802730916,0.0004131537776545783
0.005,72,0.002303086972096935,0.0003943742668813471
0.005,73,0.0022531366208568215,0.00037105793069253123
0.005,74,0.002250735176494345,0.0003879110587073161
0.005,75,0.002276192122371867,0.0004154884527163031
0.005,76,0.002295521477935836,0.00043862955427850087
0.005,77,0.002270963980117813,0.000503609256518333
0.005,78,0.0022448945324867963,0.0005236685027756628
0.005,79,0.002240529615664855,0.000506345929898476
0.005,80,0.0022102766262833027,0.0005447497212518355
0.005,81,0.002191543154185638,0.0005880993243310925
0.005,82,0.0021930590039119123,0.0005448761281563874
0.005,83,0.0021912410447839648,0.00048078167326447244
0.005,84,0.002183314022840932,0.0004216923595968845
0.005,85,0.002152927953284234,0.0004093943229318309
0.005,86,0.002133654459612444,0.0004049602303279236
0.005,87,0.002151603891979903,0.0004084513292225701
0.005,88,0.0021674562129192056,0.000453694500441402
0.005,89,0.0021741714153904468,0.0005060810998708085
0.005,90,0.0021501342474948616,0.00048470935300871416
0.005,91,0.0021208836231380703,0.0004212044465032284
0.005,92,0.0020814062445424497,0.0004084255316895217
0.005,93,0.0020538861048407854,0.0004521317475829587
0.005,94,0.0020696188730653375,0.0004854780289821121
0.005,95,0.0020989561278838666,0.000514167500642821
0.005,96,0.0021351042378228158,0.0005616308115632626
0.005,97,0.0021786395111121236,0.0005382986917850059
0.005,98,0.0022022539807949213,0.0005235387873074958
0.005,99,0.0021715537062846125,0.00047281027201312887
0.005,100,0.002124889486003667,0.0004797662533740418
0.005,101,0.002087677799863741,0.0005061450441095401
0.005,102,0.0020484785723965614,0.0004939731475788394
0.005,103,0.002004515199223533,0.0004912422619634871
0.005,104,0.0019768727594055235,0.0004790358274474033
0.005,105,0.0019792509789112954,0.00046137018653530994
0.005,106,0.0019621690269559624,0.0004208090910596211
0.005,107,0.0019727571692783386,0.0003646648910255297
0.005,108,0.0019631720613688232,0.0003146709100018227
0.005,109,0.0019513943465426565,0.0003343645967344319
0.005,110,0.0019480952818412335,0.00036581647384500635
0.005,111,0.0019533504149876536,0.0003822535693398083
0.005,112,0.0019643922976683827,0.00041950201099609085
0.005,113,0.0019867925031576304,0.0004509128273318477
0.005,114,0.0020228217472322285,0.00041837442611859576
0.005,115,0.002065325970761478,0.0003825467664608327
0.005,116,0.0020533994887955488,0.00037091197323058247
0.005,117,0.0020168284594547004,0.0004429731854888687
0.005,118,0.0019964071572758256,0.00044638696081646887
0.005,119,0.001959869830170646,0.00042495364976932563
0.005,120,0.0019482208299450576,0.0004188217672671943
0.005,121,0.0019350517075508832,0.0003885363640784715
0.005,122,0.0019005711481440812,0.0004048826348043787
0.005,123,0.001898755447473377,0.0004332338184137773
0.005,124,0.0019037266029044986,0.00042479315676818965
0.005,125,0.0019343937456142157,0.0003758971225889241
0.005,126,0.0019212292390875518,0.00031950767966929135
0.005,127,0.001879868219839409,0.00034753618790446875
0.005,128,0.0018274559115525335,0.00041036542303346876
0.005,129,0.0017835021717473865,0.0004351572470281657
0.005,130,0.0017679546552244573,0.0003898502122691784
0.005,131,0.0017973049078136682,0.00033226163960581697
0.005,132,0.0018318121728952974,0.00035865799253819564
0.005,133,0.0018574331770651042,0.0004514205745065074
0.005,134,0.001883823494426906,0.0004819960929646044
0.005,135,0.0018817796546500177,0.00044082919065792717
0.005,136,0.001871812716126442,0.0004009321272917192
0.005,137,0.0019236573425587267,0.0003389557893340618
0.005,138,0.001968737121205777,0.0003817134224958137
0.005,139,0.002022313664201647,0.0004559122852298423
0.005,140,0.0020352578081656247,0.0005370036024214926
0.005,141,0.001991094776894897,0.0006437381635023549
0.005,142,0.001953530206810683,0.0007041624858996023
0.005,143,0.0019097151700407267,0.000673364075911586
0.005,144,0.0018837589072063566,0.0005598312100313131
0.005,145,0.0018644233525265009,0.000441915454555835
0.005,146,0.0018828163330908865,0.0003881067764939378
0.005,147,0.0019026893773116172,0.00034479574155564307
0.005,148,0.001937356492271647,0.0003811251774912516
0.005,149,0.001940648106392473,0.0004184568558448871
0.005,150,0.0019100641075056046,0.000429309253167399
0.005,151,0.0018630778242368252,0.00040828174320646195
0.005,152,0.0018477439880371094,0.000396770859456705
0.005,153,0.0017936598684173076,0.0004044414238354829
0.005,154,0.0017231104720849544,0.00045250802870970086
0.005,155,0.0016862642049090936,0.0005136202695485999
0.005,156,0.0016774401185102761,0.0005446807380436968
0.005,157,0.0016848521627252921,0.0005279961136799883
0.005,158,0.0017081597674405203,0.0005003123190556127
0.005,159,0.0017595244717085734,0.0004813541855804165
0.005,160,0.0017858017148682848,0.0004712272870589661
0.005,161,0.001830845099175349,0.0004728565778541981
0.005,162,0.0018562290497357026,0.0005076555962963368
0.005,163,0.0018762994441203773,0.00053918092238139
0.005,164,0.0018861089367419482,0.0005688409061154842
0.005,165,0.0018784255080390722,0.0005403064019131314
0.005,166,0.0018671317433472724,0.0004880657416485221
0.005,167,0.0018634670006576926,0.00044415672231820007
0.005,168,0.0018526596715673805,0.0004051926838956446
0.005,169,0.0018044172029476613,0.00042120340566440483
0.005,170,0.001748564629815519,0.0004585221935142135
0.005,171,0.0017167647718451917,0.00048431967774074177
0.005,172,0.0017208918201504276,0.0005056873414456682
0.005,173,0.0017390408291248604,0.0005264321599974382
0.005,174,0.0017258774721994996,0.0005153649540731575
0.005,175,0.0016850885993335396,0.00047429438716069
0.005,176,0.0016733324097003787,0.00038892111161604407
0.005,177,0.0016994004254229367,0.000334121128561367
0.005,178,0.0017545087030157447,0.00034485245360652694
0.005,179,0.0018103337322827428,0.0004390236697626443
0.005,180,0.0018025915429461747,0.0005196183711786787
0.005,181,0.0017981372366193682,0.0005191009503753537
0.005,182,0.001816529844654724,0.0004529217397175468
0.005,183,0.0017989680171012878,0.0004120717403567479
0.005,184,0.0017588889983016997,0.00045105392947574846
0.005,185,0.0017394188384059817,0.0004298306784309142
0.005,186,0.001763093686895445,0.00033348898996072733
0.005,187,0.001811067818198353,0.0003735615527550812
0.005,188,0.0018094076891429721,0.00045450657268783517
0.005,189,0.0017885814420878887,0.00046890129862100957
0.005,190,0.0017943139420822263,0.00040960030116817995
0.005,191,0.0018129459524061531,0.0003490121158934291
0.005,192,0.0017977979499846698,0.0003492686041946715
0.005,193,0.0017636924982070922,0.0003816298834777391
0.005,194,0.001753218495287001,0.0004220856571855955
0.005,195,0.0017687087063677609,0.00043642297856707346
0.005,196,0.0017678027681540698,0.0004437716893145001
0.005,197,0.0017836802056990565,0.0004433800175216399
0.005,198,0.0017810709134209902,0.0004232849388165769
0.005,199,0.0017298112739808857,0.0004118758153722778
0.005,200,0.001679261843673885,0.00044807136981656585
0.005,201,0.0016510031564394012,0.00045670785514751046
0.005,202,0.0016581736679654568,0.00042677887340551187
0.005,203,0.001686663570581004,0.00037222416369703075
0.005,204,0.0016929016186622904,0.00033358678747682087
0.005,205,0.001700850561610423,0.000326945882395776
0.005,206,0.0016711625969037414,0.0003315006323491409
0.005,207,0.0016559088078793138,0.00033089303412867316
0.005,208,0.00168014490918722,0.0003601302302294982
0.005,209,0.0017190743965329602,0.000384684571886303
0.005,210,0.0017308598151430487,0.0004207756861786436
0.005,211,0.0017411627748515456,0.00040730158317365314
0.005,212,0.0017210563004482538,0.00042442437053626987
0.005,213,0.0016726435511372983,0.00043863313516311444
0.005,214,0.0016441896674223243,0.00045140744277802266
0.005,215,0.0016308049845974893,0.00047198397620510393
0.005,216,0.0016195032221730798,0.0004661558408123354
0.005,217,0.0016158407233888283,0.00045243292975545433
0.005,218,0.0016372896119719372,0.00044281303001986915
0.005,219,0.0016418537095887586,0.0004502564298748288
0.005,220,0.0016770603135228157,0.0004336095845573035
0.005,221,0.0016750144597608597,0.00041317218209611364
0.005,222,0.0016689833719283342,0.0003771011545232511
0.005,223,0.0016473035037051886,0.00033856657956019513
0.005,224,0.001627698400989175,0.0003285135839055336
0.005,225,0.0016073783626779914,0.00035609245456874454
0.005,226,0.0015811844496056437,0.00032610083276892317
0.005,227,0.00158650879166089,0.00030755044626121637
0.005,228,0.0016077556763775646,0.00031961562970726266
0.005,229,0.0016506200714502483,0.00035901068312046676
0.005,230,0.0016622365219518542,0.00040346181502674567
0.005,231,0.001656313892453909,0.00044425253913661406
0.005,232,0.0016677817882737144,0.0004713241760962438
0.005,233,0.0016705375892343,0.00048809003903412706
0.005,234,0.0016734730190364644,0.000488945898594758
0.005,235,0.0016612796665867791,0.0004878641500551841
0.005,236,0.001669435334042646,0.00046396334037894244
0.005,237,0.0016795294563053177,0.0004899960642853036
0.005,238,0.0017050036112777889,0.0005292131815639372
0.005,239,0.0017232712358236312,0.0004935339356129693
0.005,240,0.0017038721009157598,0.00043534452045047547
0.005,241,0.0016829642467200757,0.0003972867054579875
0.005,242,0.0016916974680498242,0.0004444984754964369
0.005,243,0.0016912907361984254,0.0004874517425934669
0.005,244,0.001685501402243972,0.000486639985735324
0.005,245,0.001668346073711291,0.0004716631515512401
0.005,246,0.0016543388192076236,0.0005046435936432497
0.005,247,0.0016304408170981332,0.0005120364491807131
0.005,248,0.0016506852465681733,0.0004962404910742428
0.005,249,0.00168192139826715,0.00048215205036371343
0.005,250,0.0017047011380782351,0.00045665775283642283
0.01,0,0.009999999776482582,0.0
0.01,1,0.009620035253465175,0.00016217790118053347
0.01,2,0.009191653691232204,0.00015772067763226118
0.01,3,0.00892829280346632,0.00021995733520986421
0.01,4,0.008845964074134826,0.00046571347203185016
0.01,5,0.0087722591124475,0.0005985695811653692
0.01,6,0.008628154871985316,0.0007135390428763597
0.01,7,0.008454678254202009,0.0007630155894823279
0.01,8,0.00824284553527832,0.0008036929181544243
0.01,9,0.00799680098425597,0.0007586838500786358
0.01,10,0.007710151397623122,0.0007117847210632279
0.01,11,0.0075210909824818374,0.0006737521533648588
0.01,12,0.007376822223886847,0.0006688573845591888
0.01,13,0.007254753494635224,0.0007332655576349176
0.01,14,0.0071437685051932934,0.0008584195295959135
0.01,15,0.006994582153856755,0.0008583807190254982
0.01,16,0.0067350819241255525,0.0008130440091714741
0.01,17,0.006340025668032467,0.0007910743448717924
0.01,18,0.005870008515194059,0.0007918421070152646
0.01,19,0.005447259615175426,0.0007177603164561316
0.01,20,0.005153707903809845,0.0006451720188494181
0.01,21,0.0050322245573624965,0.0008536398977233798
0.01,22,0.004986897902563214,0.0011265681719931384
0.01,23,0.004910189786460251,0.0011475781673542938
0.01,24,0.004809166747145354,0.0009894340445768613
0.01,25,0.004622821777593345,0.0008044785918357719
0.01,26,0.004399371438194066,0.0007598810525375352
0.01,27,0.004227690910920501,0.0008708932786615828
0.01,28,0.004199841024819762,0.0009516659777683259
0.01,29,0.0041646250057965515,0.0009741176821740067
0.01,30,0.0041540131438523534,0.0008775396627437003
0.01,31,0.004121945984661579,0.0007439359620037119
0.01,32,0.004018990066833794,0.0007346999276990584
0.01,33,0.0039159812964499,0.0007740100306409457
0.01,34,0.0038181812269613147,0.0008287442868023121
