scenario_family,scenario_name,severity,delta,L_pred,regime,predicted_safe,predicted_dangerous,actual_final_divergence,actual_max_divergence,final_loss_gap,max_loss_gap,actual_dangerous,false_positive,false_negative,bound_holds,max_bound_violation_ratio,first_violation_step,final_bound_ratio,max_bound_ratio,notes
stale_adam_moments,stale_by_10,10,1532788.875,2.157874568654165,expansive,False,True,2.1183526515960693,2.1183526515960693,0.040552616119384766,0.040552616119384766,True,False,False,True,0.0,,2.9679974784115474e-07,3.6320828731096047e-07,Adam moments from step 0; requested stale_by=10; predicted_final_bound=7.13731e+06; actual_dangerous iff final_divergence >= 1.0 or max_loss_gap >= 0.05
stale_adam_moments,stale_by_25,25,1532788.875,2.157874568654165,expansive,False,True,2.1183526515960693,2.1183526515960693,0.040552616119384766,0.040552616119384766,True,False,False,True,0.0,,2.9679974784115474e-07,3.6320828731096047e-07,Adam moments from step 0; requested stale_by=25; predicted_final_bound=7.13731e+06; actual_dangerous iff final_divergence >= 1.0 or max_loss_gap >= 0.05
moment_reset,reset_m_only,m,27047.212890625,2.157874568654165,expansive,False,True,1.5630760192871094,1.5630760192871094,0.3091866970062256,0.3091866970062256,True,False,False,True,0.0,,1.2410954610978252e-05,1.3328957239437017e-05,Reset first Adam moment only; predicted_final_bound=125943; actual_dangerous iff final_divergence >= 1.0 or max_loss_gap >= 0.05
moment_reset,reset_v_only,v,1532550.25,2.157874568654165,expansive,False,True,884617728.0,884617728.0,1440.4934084415436,1440.4934084415436,True,False,False,False,150.45343554000087,1,123.96198494256166,150.45343554000087,Reset second Adam moment only; predicted_final_bound=7.1362e+06; actual_dangerous iff final_divergence >= 1.0 or max_loss_gap >= 0.05
moment_reset,reset_m_and_v,m+v,1532788.875,2.157874568654165,expansive,False,True,2.1183526515960693,2.1183526515960693,0.040552616119384766,0.040552616119384766,True,False,False,True,0.0,,2.9679974784115474e-07,3.6320828731096047e-07,Reset both Adam moments; predicted_final_bound=7.13731e+06; actual_dangerous iff final_divergence >= 1.0 or max_loss_gap >= 0.05
scheduler_mismatch,lr_2x,2x,0.0,3.0847631708455063,expansive,False,True,1.6528911590576172,1.6528911590576172,0.03053593635559082,0.03053593635559082,True,False,False,True,0.0,,0.0,0.0,State unchanged; resume schedule uses multiplied learning rate; predicted_final_bound=0; actual_dangerous iff final_divergence >= 1.0 or max_loss_gap >= 0.05
scheduler_mismatch,lr_10x,10x,0.0,6.914932760247864,expansive,False,True,14.071359634399414,14.071359634399414,0.06971573829650879,0.06971573829650879,True,False,False,True,0.0,,0.0,0.0,State unchanged; resume schedule uses multiplied learning rate; predicted_final_bound=0; actual_dangerous iff final_divergence >= 1.0 or max_loss_gap >= 0.05
ema_as_parameters,ema_decay_0.9,0.9,3.607440948486328,2.157874568654165,expansive,False,True,4.050830364227295,4.050830364227295,0.2554652690887451,0.2554652690887451,True,False,False,True,0.0,,0.24115286869333197,1.0,Synthetic EMA shadow loaded as model parameters; predicted_final_bound=16.7978; actual_dangerous iff final_divergence >= 1.0 or max_loss_gap >= 0.05
ema_as_parameters,ema_decay_0.999,0.999,4.7997026443481445,2.157874568654165,expansive,False,True,5.172255039215088,5.172255039215088,0.12424063682556152,0.12424063682556152,True,False,False,True,0.0,,0.2314265630096709,1.0,Synthetic EMA shadow loaded as model parameters; predicted_final_bound=22.3494; actual_dangerous iff final_divergence >= 1.0 or max_loss_gap >= 0.05
synthetic_lora_moment_freeze,freeze_frac_0.25,0.25,1528955.0,2.157874568654165,expansive,False,True,1.7494111061096191,1.7494111061096191,0.010522127151489258,0.010522127151489258,True,False,False,True,0.0,,2.457224191646693e-07,3.044134961956573e-07,"Synthetic optimizer-row freezing, not real LoRA adapter training; predicted_final_bound=7.11946e+06; actual_dangerous iff final_divergence >= 1.0 or max_loss_gap >= 0.05"
synthetic_lora_moment_freeze,freeze_frac_1,1,1532788.875,2.157874568654165,expansive,False,True,2.1183526515960693,2.1183526515960693,0.040552616119384766,0.040552616119384766,True,False,False,True,0.0,,2.9679974784115474e-07,3.6320828731096047e-07,"Synthetic optimizer-row freezing, not real LoRA adapter training; predicted_final_bound=7.13731e+06; actual_dangerous iff final_divergence >= 1.0 or max_loss_gap >= 0.05"
