step,optimizer,divergence,bound,loss_gap,tightness
0,Adam,0.0,0.0,0.0,0.0
1,Adam,0.0,0.0,0.0,0.0
2,Adam,0.0,0.0,0.0,0.0
3,Adam,0.0,0.0,0.0,0.0
4,Adam,0.0,0.0,0.0,0.0
5,Adam,0.0,0.0,0.0,0.0
6,Adam,0.0,0.0,0.0,0.0
7,Adam,0.0,0.0,0.0,0.0
8,Adam,0.0,0.0,0.0,0.0
9,Adam,0.0,0.0,0.0,0.0
10,Adam,0.0,0.0,0.0,0.0
11,Adam,0.0,0.0,0.0,0.0
12,Adam,0.0,0.0,0.0,0.0
13,Adam,0.0,0.0,0.0,0.0
14,Adam,0.0,0.0,0.0,0.0
15,Adam,0.0,0.0,0.0,0.0
16,Adam,0.0,0.0,0.0,0.0
17,Adam,0.0,0.0,0.0,0.0
18,Adam,0.0,0.0,0.0,0.0
19,Adam,0.0,0.0,0.0,0.0
20,Adam,0.0,0.0,0.0,0.0
21,Adam,0.0,0.0,0.0,0.0
22,Adam,0.0,0.0,0.0,0.0
23,Adam,0.0,0.0,0.0,0.0
24,Adam,0.0,0.0,0.0,0.0
25,Adam,0.0,0.0,0.0,0.0
26,Adam,0.0,0.0,0.0,0.0
27,Adam,0.0,0.0,0.0,0.0
28,Adam,0.0,0.0,0.0,0.0
29,Adam,0.0,0.0,0.0,0.0
30,Adam,0.0,0.0,0.0,0.0
31,Adam,0.0,0.0,0.0,0.0
32,Adam,0.0,0.0,0.0,0.0
33,Adam,0.0,0.0,0.0,0.0
34,Adam,0.0,0.0,0.0,0.0
35,Adam,0.0,0.0,0.0,0.0
36,Adam,0.0,0.0,0.0,0.0
37,Adam,0.0,0.0,0.0,0.0
38,Adam,0.0,0.0,0.0,0.0
39,Adam,0.0,0.0,0.0,0.0
40,Adam,0.0,0.0,0.0,0.0
41,Adam,0.0,0.0,0.0,0.0
42,Adam,0.0,0.0,0.0,0.0
43,Adam,0.0,0.0,0.0,0.0
44,Adam,0.0,0.0,0.0,0.0
45,Adam,0.0,0.0,0.0,0.0
46,Adam,0.0,0.0,0.0,0.0
47,Adam,0.0,0.0,0.0,0.0
48,Adam,0.0,0.0,0.0,0.0
49,Adam,0.0,0.0,0.0,0.0
50,Adam,0.0,0.0,0.0,0.0
51,Adam,0.0,0.0,0.0,0.0
52,Adam,0.0,0.0,0.0,0.0
53,Adam,0.0,0.0,0.0,0.0
54,Adam,0.0,0.0,0.0,0.0
55,Adam,0.0,0.0,0.0,0.0
56,Adam,0.0,0.0,0.0,0.0
57,Adam,0.0,0.0,0.0,0.0
58,Adam,0.0,0.0,0.0,0.0
59,Adam,0.0,0.0,0.0,0.0
60,Adam,0.0,0.0,0.0,0.0
61,Adam,0.0,0.0,0.0,0.0
62,Adam,0.0,0.0,0.0,0.0
63,Adam,0.0,0.0,0.0,0.0
64,Adam,0.0,0.0,0.0,0.0
65,Adam,0.0,0.0,0.0,0.0
66,Adam,0.0,0.0,0.0,0.0
67,Adam,0.0,0.0,0.0,0.0
68,Adam,0.0,0.0,0.0,0.0
69,Adam,0.0,0.0,0.0,0.0
70,Adam,0.0,0.0,0.0,0.0
71,Adam,0.0,0.0,0.0,0.0
72,Adam,0.0,0.0,0.0,0.0
73,Adam,0.0,0.0,0.0,0.0
74,Adam,0.0,0.0,0.0,0.0
75,Adam,0.0,0.0,0.0,0.0
76,Adam,0.0,0.0,0.0,0.0
77,Adam,0.0,0.0,0.0,0.0
78,Adam,0.0,0.0,0.0,0.0
79,Adam,0.0,0.0,0.0,0.0
80,Adam,0.0,0.0,0.0,0.0
81,Adam,0.0,0.0,0.0,0.0
82,Adam,0.0,0.0,0.0,0.0
83,Adam,0.0,0.0,0.0,0.0
84,Adam,0.0,0.0,0.0,0.0
85,Adam,0.0,0.0,0.0,0.0
86,Adam,0.0,0.0,0.0,0.0
87,Adam,0.0,0.0,0.0,0.0
88,Adam,0.0,0.0,0.0,0.0
89,Adam,0.0,0.0,0.0,0.0
90,Adam,0.0,0.0,0.0,0.0
91,Adam,0.0,0.0,0.0,0.0
92,Adam,0.0,0.0,0.0,0.0
93,Adam,0.0,0.0,0.0,0.0
94,Adam,0.0,0.0,0.0,0.0
95,Adam,0.0,0.0,0.0,0.0
96,Adam,0.0,0.0,0.0,0.0
97,Adam,0.0,0.0,0.0,0.0
98,Adam,0.0,0.0,0.0,0.0
99,Adam,0.0,0.0,0.0,0.0
100,Adam,0.009999999776482582,0.009999999776482582,0.003454391506693355,1.0
101,Adam,0.007600849028676748,0.010109131141120269,0.0013023099145357264,0.7518795554802191
102,Adam,0.007993489503860474,0.010219453471259342,0.0012584688120114151,0.7821836584843745
103,Adam,0.007284661754965782,0.010330979764069138,0.0012918689453726984,0.7051278698949381
104,Adam,0.005773418117314577,0.010443723158558866,0.0008909229081837111,0.5528122518819479
105,Adam,0.0063276272267103195,0.010557696937125553,0.0009510421396043967,0.5993378351730831
106,Adam,0.006705193780362606,0.01067291452711883,0.000891890389539185,0.6282439312453375
107,Adam,0.007357799913734198,0.010789389502422834,0.0012356384668237297,0.6819477517316389
108,Adam,0.006935369223356247,0.010907135585055358,0.0012368520983727649,0.635856148415253
109,Adam,0.0048990859650075436,0.011026166646784446,0.0005780391338703339,0.4443145221677074
110,Adam,0.004994870163500309,0.011146496710762642,0.0006496337819044129,0.4481112131560985
111,Adam,0.005426595453172922,0.011268139953179082,0.0007573792508992483,0.4815875091826416
