cohort,seed,checkpoint_age,rewrite_family,kappa_t,eps_c,tolerance,first_step_S1,representable,empty_state,coordinate_count,fraction_R_gt_1_plus_tol,max_R,q95_R,q99_R,q999_R,v_zero_m_nonzero
primary,1101,75,exact_restore,52.85713505761189,1e-30,1e-05,0.0,True,False,19484864,0.0,0.5829457640647888,0.014796829782426357,0.05171632766723633,0.13894084095954895,0
primary,1101,75,reset_m,52.85713505761189,1e-30,1e-05,0.9603465586808511,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
primary,1101,75,reset_v,52.85713505761189,1e-30,1e-05,209869.59340027385,True,False,19484864,0.998850338395998,1.7370369414429294e+29,6.368859448206206e+24,2.6633374505976712e+25,1.2142131176347562e+26,19462463
primary,1101,75,stale_m,52.85713505761189,1e-30,1e-05,1.6073221397525252,True,False,19484864,0.0,0.601733386516571,0.030140191316604614,0.07875203341245651,0.1733698844909668,0
primary,1101,75,stale_v,52.85713505761189,1e-30,1e-05,623.8144819976185,True,False,19484864,0.001702654942831523,1.4968931134905084e+23,0.027000823989510536,0.18136188387870789,1.5832369327545166,896
primary,1101,75,stale_mv,52.85713505761189,1e-30,1e-05,1.8046013629995958,True,False,19484864,0.0,0.6500132083892822,0.04186829552054405,0.11313977092504501,0.24008488655090332,0
primary,1101,75,optimizer_reset,52.85713505761189,1e-30,1e-05,8.057955981448147,True,True,0,0.0,0.0,0.0,0.0,0.0,0
primary,1101,75,reset_mv_preserve_counter,52.85713505761189,1e-30,1e-05,,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
primary,1101,150,exact_restore,52.857142857141646,1e-30,1e-05,0.0,True,False,19484864,0.0,0.2961328327655792,0.0018603189382702112,0.007507199887186289,0.026996415108442307,0
primary,1101,150,reset_m,52.857142857141646,1e-30,1e-05,0.929982998146116,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
primary,1101,150,reset_v,52.857142857141646,1e-30,1e-05,52393.90131944534,True,False,19484864,0.9989423585404548,7.638117526563727e+28,9.804341432817152e+23,5.151085532504472e+24,3.2018205073707433e+25,19464256
primary,1101,150,stale_m,52.857142857141646,1e-30,1e-05,1.5020000618487983,True,False,19484864,0.0,0.4094073474407196,0.0034057723823934793,0.013645132072269917,0.045213475823402405,0
primary,1101,150,stale_v,52.857142857141646,1e-30,1e-05,232.93780180846326,True,False,19484864,3.926124400970928e-05,8.881502663241175e+21,0.0019244555151090026,0.00836418941617012,0.03568318486213684,448
primary,1101,150,stale_mv,52.857142857141646,1e-30,1e-05,1.5436122120450837,True,False,19484864,0.0,0.4605345129966736,0.0035177988465875387,0.014968790113925934,0.05478830635547638,0
primary,1101,150,optimizer_reset,52.857142857141646,1e-30,1e-05,14.476442472355151,True,True,0,0.0,0.0,0.0,0.0,0.0,0
primary,1101,150,reset_mv_preserve_counter,52.857142857141646,1e-30,1e-05,,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
primary,1101,300,exact_restore,52.8571428571428,1e-30,1e-05,0.0,True,False,19484864,0.0,0.06969501823186874,0.0005766711547039449,0.0021938628051429987,0.006863652262836695,0
primary,1101,300,reset_m,52.8571428571428,1e-30,1e-05,0.9114724655263718,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
primary,1101,300,reset_v,52.8571428571428,1e-30,1e-05,34618.650585317715,True,False,19484864,0.9518959947577771,1.6902439328256382e+28,2.671183117465318e+23,1.439528279049696e+24,9.419583136037797e+24,19467392
primary,1101,300,stale_m,52.8571428571428,1e-30,1e-05,1.3601873837919256,True,False,19484864,0.0,0.11066943407058716,0.0006066549685783684,0.0022749940399080515,0.007806276902556419,0
primary,1101,300,stale_v,52.8571428571428,1e-30,1e-05,0.022337174006545113,True,False,19484864,0.0,0.11633314192295074,0.0005717694293707609,0.0022078079637140036,0.007148073986172676,0
primary,1101,300,stale_mv,52.8571428571428,1e-30,1e-05,1.3606954572085534,True,False,19484864,0.0,0.11177467554807663,0.0006011602818034589,0.0022815673146396875,0.00798705779016018,0
primary,1101,300,optimizer_reset,52.8571428571428,1e-30,1e-05,18.914029194196033,True,True,0,0.0,0.0,0.0,0.0,0.0,0
