rewrite_family,checkpoint_age,count,seeds,cell
exact_restore,75,0,3,0/3
exact_restore,150,0,3,0/3
exact_restore,300,0,3,0/3
benign_nonzero,75,0,3,0/3
benign_nonzero,150,0,3,0/3
benign_nonzero,300,0,3,0/3
reset_m,75,3,3,3/3
reset_m,150,0,3,0/3
reset_m,300,0,3,0/3
reset_v,75,3,3,3/3
reset_v,150,3,3,3/3
reset_v,300,3,3,3/3
stale_m,75,3,3,3/3
stale_m,150,2,3,2/3
stale_m,300,0,3,0/3
stale_v,75,3,3,3/3
stale_v,150,1,3,1/3
stale_v,300,0,3,0/3
stale_mv,75,3,3,3/3
stale_mv,150,2,3,2/3
stale_mv,300,0,3,0/3
model_current_optimizer_stale,75,3,3,3/3
model_current_optimizer_stale,150,2,3,2/3
model_current_optimizer_stale,300,0,3,0/3
step_counter_mismatch,75,3,3,3/3
step_counter_mismatch,150,0,3,0/3
step_counter_mismatch,300,0,3,0/3
scheduler_mismatch,75,0,3,0/3
scheduler_mismatch,150,0,3,0/3
scheduler_mismatch,300,0,3,0/3
optimizer_reset,75,3,3,3/3
optimizer_reset,150,3,3,3/3
optimizer_reset,300,3,3,3/3
