row_id,rewrite_family,training_seed,checkpoint_step,parameter_label,T_tau,normalized_max_parameter_divergence,task_damaged,task_recovery_step,max_validation_loss_gap,final_validation_loss_gap,max_perplexity_gap,final_perplexity_gap
gpu_seed1101_ckpt75_exact_restore,exact_restore,1101,75,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1101_ckpt75_benign_nonzero,benign_nonzero,1101,75,benign,,9.626789596573611e-05,False,0,1.9391377767519202e-05,1.5576680501006024e-05,0.00736190657107727,0.004448681413862232
gpu_seed1101_ckpt75_reset_m,reset_m,1101,75,benign,,0.03775406541064273,True,,2.866672197977702,0.27295796076456735,7050.85813574866,68.22300873695076
gpu_seed1101_ckpt75_reset_v,reset_v,1101,75,dangerous,1,3719.617977926028,True,,905650110456.2783,702180906319.6788,5.184705528587072e+21,5.184705528587072e+21
gpu_seed1101_ckpt75_stale_m,stale_m,1101,75,benign,,0.04899426949629305,True,,2.335111618041992,0.5796295801798506,7352.121355831889,224.30447471492397
gpu_seed1101_ckpt75_stale_v,stale_v,1101,75,dangerous,1,10.992731941029513,True,,1.1022974650065107,0.38428703943888376,10942.420898579256,91.12502449497899
gpu_seed1101_ckpt75_stale_mv,stale_mv,1101,75,benign,,0.05553404830012643,True,,4.260000864664713,1.6708792050679522,24957.347037573727,1232.8940647362383
gpu_seed1101_ckpt75_model_current_optimizer_stale,model_current_optimizer_stale,1101,75,benign,,0.0486872910683624,True,,2.5359261830647783,0.729945182800293,7484.9657445903285,307.01164723129483
gpu_seed1101_ckpt75_step_counter_mismatch,step_counter_mismatch,1101,75,benign,,0.016905656491330072,True,,1.4692797660827637,0.13348627090454102,5558.227304163622,35.68885307232617
gpu_seed1101_ckpt75_scheduler_mismatch,scheduler_mismatch,1101,75,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1101_ckpt75_optimizer_reset,optimizer_reset,1101,75,dangerous,15,0.11602177711867073,True,,11.527745882670084,7.1138383547465,837718869.771226,350676.74015910743
gpu_seed1101_ckpt150_exact_restore,exact_restore,1101,150,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1101_ckpt150_benign_nonzero,benign_nonzero,1101,150,benign,,2.8656786272998124e-05,False,0,0.000198205312093247,7.462501525878906e-05,0.004920392865788159,0.0015470487232427388
gpu_seed1101_ckpt150_reset_m,reset_m,1101,150,benign,,0.005568780743612615,False,13,0.22392646471659328,0.06683524449666312,4.963843708676308,1.4328568798159083
gpu_seed1101_ckpt150_reset_v,reset_v,1101,150,dangerous,1,197.5265591477354,True,,17943427.07331856,4227516.218408744,5.184705528587072e+21,5.184705528587072e+21
