model,dataset,seed,scenario,delta,L_clean,L_rewritten,L_max,L_stepwise,actual_max_divergence,actual_loss_gap,loss_gap_threshold,divergence_threshold,actual_label,predicted_label,decision,false_positive,false_negative,abstained,runtime_seconds
resnet18,real CIFAR-10 train split (first 256 images),0,exact_restore,0.0,1.9557905329150853,1.9577386231436962,1.9577386231436962,1.0,0.0,0.0,0.1,11.18534393310557,benign,safe,certified_safe,False,False,False,27.23033199999918
resnet18,real CIFAR-10 train split (first 256 images),0,noop_restore,0.0,1.9557905329150853,1.9557451840792976,1.9557905329150853,1.0,0.0,0.0,0.1,11.18534393310557,benign,safe,certified_safe,False,False,False,25.03343270000005
resnet18,real CIFAR-10 train split (first 256 images),0,stale_adam_moments,0.6479805111885071,1.9557905329150853,2.112743098018672,2.112743098018672,1.2675754567299982,5.175725936889648,0.8472626209259033,0.1,11.18534393310557,dangerous,dangerous,flagged_dangerous,False,False,False,24.996049699999276
resnet18,real CIFAR-10 train split (first 256 images),0,reset_first_moment,0.8138085007667542,1.9557905329150853,1.941450649053814,1.9557905329150853,1.2547815031689187,5.88547945022583,0.7341558933258057,0.1,11.18534393310557,dangerous,dangerous,flagged_dangerous,False,False,False,26.98242029999892
resnet18,real CIFAR-10 train split (first 256 images),0,reset_second_moment,9.744369506835938,1.9557905329150853,417.297649523038,417.297649523038,1.1057675389436175,88327.4296875,6.592184543609619,0.1,11.18534393310557,dangerous,dangerous,flagged_dangerous,False,False,False,31.09177930000078
resnet18,real CIFAR-10 train split (first 256 images),0,scheduler_mismatch,0.4069042205810547,1.9557905329150853,2.3639880505368662,2.3639880505368662,1.3080490557281335,5.021564483642578,0.48584985733032227,0.1,11.18534393310557,dangerous,dangerous,flagged_dangerous,False,False,False,31.4438212999994
resnet18,real CIFAR-10 train split (first 256 images),0,ema_shadow_present_not_loaded,0.0,1.9557905329150853,1.9555636329750763,1.9557905329150853,1.0,0.0,0.0,0.1,11.18534393310557,benign,safe,certified_safe,False,False,False,30.29743520000011
resnet18,real CIFAR-10 train split (first 256 images),0,ema_loaded_as_parameters,5.734920024871826,1.9557905329150853,2.0942473686137633,2.0942473686137633,1.0327324319738005,8.761882781982422,0.5426256656646729,0.1,11.18534393310557,dangerous,dangerous,flagged_dangerous,False,False,False,30.4802337000001
resnet18,real CIFAR-10 train split (first 256 images),0,mild_lr_decrease,0.4069042503833771,1.9557905329150853,1.4728097706833079,1.9557905329150853,1.2753384642118786,3.9012503623962402,0.8853204250335693,0.1,11.18534393310557,dangerous,dangerous,flagged_dangerous,False,False,False,24.81605579999996
resnet18,real CIFAR-10 train split (first 256 images),0,severe_lr_increase,7.324344158172607,1.9557905329150853,6.00661688880968,6.00661688880968,1.2489897060316961,53.38303756713867,3.0453476905822754,0.1,11.18534393310557,dangerous,dangerous,flagged_dangerous,False,False,False,23.876689700000497
resnet18,real CIFAR-10 train split (first 256 images),0,optimizer_state_from_older_checkpoint,1.146950364112854,1.9557905329150853,2.590080248191267,2.590080248191267,1.2313482764524684,6.815901279449463,0.6437737941741943,0.1,11.18534393310557,dangerous,dangerous,flagged_dangerous,False,False,False,23.79572889999872
resnet18,real CIFAR-10 train split (first 256 images),0,params_current_optimizer_older,0.9631484150886536,1.9557905329150853,2.3560130967118087,2.3560130967118087,1.250112271889486,6.526630401611328,0.5130579471588135,0.1,11.18534393310557,dangerous,dangerous,flagged_dangerous,False,False,False,24.07025309999881
resnet18,real CIFAR-10 train split (first 256 images),1,exact_restore,0.0,1.8813459108795338,1.881550078920248,1.881550078920248,1.0,0.0,0.0,0.1,11.174044036865334,benign,safe,certified_safe,False,False,False,24.845575400000598
resnet18,real CIFAR-10 train split (first 256 images),1,noop_restore,0.0,1.8813459108795338,1.8819363601046784,1.8819363601046784,1.0,0.0,0.0,0.1,11.174044036865334,benign,safe,certified_safe,False,False,False,26.2583766000007
resnet18,real CIFAR-10 train split (first 256 images),1,stale_adam_moments,0.6421352624893188,1.8813459108795338,2.038665643857476,2.038665643857476,1.2643380839995773,5.0479512214660645,0.915334939956665,0.1,11.174044036865334,dangerous,dangerous,flagged_dangerous,False,False,False,24.079465799999525
resnet18,real CIFAR-10 train split (first 256 images),1,reset_first_moment,0.8085432648658752,1.8813459108795338,1.874306749160762,1.8813459108795338,1.2530328466432306,5.814271926879883,0.6481940746307373,0.1,11.174044036865334,dangerous,dangerous,flagged_dangerous,False,False,False,24.69858960000056
resnet18,real CIFAR-10 train split (first 256 images),1,reset_second_moment,9.749289512634277,1.8813459108795338,405.1958229106863,405.1958229106863,1.0876169040607695,79137.6171875,5.612124919891357,0.1,11.174044036865334,dangerous,dangerous,flagged_dangerous,False,False,False,24.846137100001215
resnet18,real CIFAR-10 train split (first 256 images),1,scheduler_mismatch,0.40427160263061523,1.8813459108795338,2.2627341022331047,2.2627341022331047,1.2994010549476538,4.509471893310547,0.5120298862457275,0.1,11.174044036865334,dangerous,dangerous,flagged_dangerous,False,False,False,24.341657099999793
resnet18,real CIFAR-10 train split (first 256 images),1,ema_shadow_present_not_loaded,0.0,1.8813459108795338,1.8809792042721376,1.8813459108795338,1.0,0.0,0.0,0.1,11.174044036865334,benign,safe,certified_safe,False,False,False,25.90586179999991
resnet18,real CIFAR-10 train split (first 256 images),1,ema_loaded_as_parameters,5.744461536407471,1.8813459108795338,2.101725515243354,2.101725515243354,1.03234085353101,8.672283172607422,0.7807471752166748,0.1,11.174044036865334,dangerous,dangerous,flagged_dangerous,False,False,False,24.025279699999373
resnet18,real CIFAR-10 train split (first 256 images),1,mild_lr_decrease,0.4042716324329376,1.8813459108795338,1.431543478565067,1.8813459108795338,1.2706033274852258,3.623011827468872,0.2821495532989502,0.1,11.174044036865334,dangerous,dangerous,flagged_dangerous,False,False,False,24.443250700000135
resnet18,real CIFAR-10 train split (first 256 images),1,severe_lr_increase,7.276943206787109,1.8813459108795338,5.709984909547051,5.709984909547051,1.2462824462551272,50.898128509521484,2.6394052505493164,0.1,11.174044036865334,dangerous,dangerous,flagged_dangerous,False,False,False,28.751302399999986
resnet18,real CIFAR-10 train split (first 256 images),1,optimizer_state_from_older_checkpoint,1.139074444770813,1.8813459108795338,2.514117917632844,2.514117917632844,1.2300139846972784,6.782108306884766,0.9555854797363281,0.1,11.174044036865334,dangerous,dangerous,flagged_dangerous,False,False,False,23.70501090000107
resnet18,real CIFAR-10 train split (first 256 images),1,params_current_optimizer_older,0.9545042514801025,1.8813459108795338,2.291247263728237,2.291247263728237,1.2481603092276272,6.460583686828613,0.9956865310668945,0.1,11.174044036865334,dangerous,dangerous,flagged_dangerous,False,False,False,29.224475500001063
resnet18,real CIFAR-10 train split (first 256 images),2,exact_restore,0.0,1.9355451130986971,1.9378429906272105,1.9378429906272105,1.0,0.0,0.0,0.1,11.1772216796876,benign,safe,certified_safe,False,False,False,27.86988080000083
resnet18,real CIFAR-10 train split (first 256 images),2,noop_restore,0.0,1.9355451130986971,1.93611999242715,1.93611999242715,1.0,0.0,0.0,0.1,11.1772216796876,benign,safe,certified_safe,False,False,False,24.09209109999938
resnet18,real CIFAR-10 train split (first 256 images),2,stale_adam_moments,0.6058428883552551,1.9355451130986971,2.0702778832513125,2.0702778832513125,1.274445443549667,5.111052989959717,0.3929142951965332,0.1,11.1772216796876,dangerous,dangerous,flagged_dangerous,False,False,False,24.20303100000092
resnet18,real CIFAR-10 train split (first 256 images),2,reset_first_moment,0.802970826625824,1.9355451130986971,1.921948524573372,1.9355451130986971,1.2556994078202954,5.892576694488525,0.37607789039611816,0.1,11.1772216796876,dangerous,dangerous,flagged_dangerous,False,False,False,23.991453399999955
resnet18,real CIFAR-10 train split (first 256 images),2,reset_second_moment,9.753114700317383,1.9355451130986971,442.6367795385241,442.6367795385241,1.099109039625597,87320.984375,2.1616010665893555,0.1,11.1772216796876,dangerous,dangerous,flagged_dangerous,False,False,False,24.21473379999952
resnet18,real CIFAR-10 train split (first 256 images),2,scheduler_mismatch,0.4014853835105896,1.9355451130986971,2.333701990140121,2.333701990140121,1.310112285094095,4.922298908233643,0.39225292205810547,0.1,11.1772216796876,dangerous,dangerous,flagged_dangerous,False,False,False,24.20314160000089
resnet18,real CIFAR-10 train split (first 256 images),2,ema_shadow_present_not_loaded,0.0,1.9355451130986971,1.9370735443356677,1.9370735443356677,1.0,0.0,0.0,0.1,11.1772216796876,benign,safe,certified_safe,False,False,False,24.728103600000395
