model,dataset,seed,scenario,direction_type,probe_trials,probe_steps,L_estimate,actual_growth,missed_worst_case,bound_holds,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,random,1,15,1.6834995371156714,2569.4181294736222,True,False,0.005845600000611739
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,random,3,15,1.6515766346864036,2569.4181294736222,True,False,0.017281599999478203
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,random,5,15,1.655395697510325,3164.95419769681,True,False,0.028935299998920527
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,random,10,15,1.6398905198345572,3164.95419769681,True,False,0.05939370000123745
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,random,20,15,1.6497450037958092,5160.430800147993,False,False,0.1182489999991958
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,random,50,15,1.6420596028795131,5160.430800147993,False,False,0.29193429999941145
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,gradient_aligned,1,15,1.6086306364109932,862.3411959504645,True,False,0.006649300001299707
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,gradient_aligned,3,15,1.6149950019462571,997.8602333617945,True,False,0.017758099998900434
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,gradient_aligned,5,15,1.6176421792615943,1076.9090328469476,True,False,0.029425299999275012
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,gradient_aligned,10,15,1.6210930104270787,1076.9090328469476,True,False,0.05909570000039821
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,gradient_aligned,20,15,1.620717463396402,1131.0454743724395,True,False,0.11918949999926554
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,gradient_aligned,50,15,1.620440371483966,1131.0454743724395,True,False,0.2950688999990234
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,trajectory_aligned,1,15,1.708777886296346,2777.8363929584734,True,False,0.0060296999999991385
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,trajectory_aligned,3,15,1.7108328666544428,2871.4559207560883,True,False,0.01862770000116143
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,trajectory_aligned,5,15,1.712130115556023,2957.2219403597014,True,False,0.030421399998886045
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,trajectory_aligned,10,15,1.7126613276750007,2957.2219403597014,True,False,0.06085510000048089
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,trajectory_aligned,20,15,1.7126648326947003,2957.2219403597014,True,False,0.12228080000022601
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,trajectory_aligned,50,15,1.712417110348097,2964.0824351466595,True,False,0.30188690000068163
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,top_hessian,1,15,1.6766961721193683,1962.5270862444743,True,False,0.005923999999140506
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,top_hessian,3,15,1.678099816424828,1999.7248558723709,True,False,0.01777140000012878
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,top_hessian,5,15,1.6779202602163492,1999.7248558723709,True,False,0.029560299999502604
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,top_hessian,10,15,1.678181125485958,1999.7248558723709,True,False,0.059215699999185745
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,top_hessian,20,15,1.677838788609623,1999.7248558723709,True,False,0.1182606999991549
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,top_hessian,50,15,1.6776161596079393,2013.2284349690124,True,False,0.2949378000012075
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,adam_denom_sensitive,1,15,1.6544745739478974,1494.5774157907929,True,False,0.005856700001459103
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,adam_denom_sensitive,3,15,1.6597320223340932,1641.9791395394727,True,False,0.01773680000042077
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,adam_denom_sensitive,5,15,1.663090906288912,1794.8598123021168,True,False,0.029405400000541704
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,adam_denom_sensitive,10,15,1.6651690827785448,1794.8598123021168,True,False,0.059271300000546034
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,adam_denom_sensitive,20,15,1.6650673734184964,1818.228856957944,True,False,0.11844870000095398
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,adam_denom_sensitive,50,15,1.6646509507232616,1818.228856957944,True,False,0.29637410000032105
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,schedule_time,1,15,1.6063799675011325,908.0973496959923,True,False,0.006055699999706121
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,schedule_time,3,15,1.5973353917662345,908.0973496959923,True,False,0.017960799999855226
