analysis,group,N,coefficient
pooled_all_rows,all,99,0.9353329475956723
per_seed,1101,33,0.9273827534039334
per_seed,1102,33,0.9357875273155152
per_seed,1103,33,0.9388132459236846
leave_one_family_out,exact_restore,90,0.9143575165822106
leave_one_family_out,benign_nonzero,90,0.9156460552955624
leave_one_family_out,reset_m,90,0.939659464303495
leave_one_family_out,reset_v,90,0.914052905838229
leave_one_family_out,stale_m,90,0.9400411563609811
leave_one_family_out,stale_v,90,0.9906734375518603
leave_one_family_out,stale_mv,90,0.9401407282020644
leave_one_family_out,model_current_optimizer_stale,90,0.9393441534733977
leave_one_family_out,step_counter_mismatch,90,0.9378671711639949
leave_one_family_out,scheduler_mismatch,90,0.9143575165822106
leave_one_family_out,optimizer_reset,90,0.9391616050980782
within_family,exact_restore,9,
within_family,benign_nonzero,9,0.6333333333333333
within_family,reset_m,9,0.9666666666666667
within_family,reset_v,9,1.0
within_family,stale_m,9,0.9166666666666666
within_family,stale_v,9,0.9
within_family,stale_mv,9,0.8833333333333333
within_family,model_current_optimizer_stale,9,0.9166666666666666
within_family,step_counter_mismatch,9,0.9166666666666666
within_family,scheduler_mismatch,9,
within_family,optimizer_reset,9,0.38333333333333336
checkpoint_age,75,33,0.9220036981005211
checkpoint_age,150,33,0.8530845520255506
checkpoint_age,300,33,0.9109093965372331
family_checkpoint_residualized,two_way_additive_mean_residuals,99,0.963136481151583
