rewrite_family,checkpoint_age,seed,T_tau
exact_restore,75,1101,
benign_nonzero,75,1101,
reset_m,75,1101,
reset_v,75,1101,1
stale_m,75,1101,
stale_v,75,1101,1
stale_mv,75,1101,
model_current_optimizer_stale,75,1101,
step_counter_mismatch,75,1101,
scheduler_mismatch,75,1101,
optimizer_reset,75,1101,15
exact_restore,150,1101,
benign_nonzero,150,1101,
reset_m,150,1101,
reset_v,150,1101,1
stale_m,150,1101,
stale_v,150,1101,1
stale_mv,150,1101,
model_current_optimizer_stale,150,1101,
step_counter_mismatch,150,1101,
scheduler_mismatch,150,1101,
optimizer_reset,150,1101,16
exact_restore,300,1101,
benign_nonzero,300,1101,
reset_m,300,1101,
reset_v,300,1101,1
stale_m,300,1101,
stale_v,300,1101,
stale_mv,300,1101,
model_current_optimizer_stale,300,1101,
step_counter_mismatch,300,1101,
scheduler_mismatch,300,1101,
optimizer_reset,300,1101,18
exact_restore,75,1102,
benign_nonzero,75,1102,
reset_m,75,1102,
reset_v,75,1102,1
stale_m,75,1102,
stale_v,75,1102,1
stale_mv,75,1102,
model_current_optimizer_stale,75,1102,
step_counter_mismatch,75,1102,
scheduler_mismatch,75,1102,
optimizer_reset,75,1102,15
exact_restore,150,1102,
benign_nonzero,150,1102,
reset_m,150,1102,
reset_v,150,1102,1
stale_m,150,1102,
stale_v,150,1102,1
stale_mv,150,1102,
model_current_optimizer_stale,150,1102,
step_counter_mismatch,150,1102,
scheduler_mismatch,150,1102,
optimizer_reset,150,1102,16
exact_restore,300,1102,
benign_nonzero,300,1102,
reset_m,300,1102,
reset_v,300,1102,1
stale_m,300,1102,
stale_v,300,1102,1
stale_mv,300,1102,
model_current_optimizer_stale,300,1102,
step_counter_mismatch,300,1102,
scheduler_mismatch,300,1102,
optimizer_reset,300,1102,17
exact_restore,75,1103,
benign_nonzero,75,1103,
reset_m,75,1103,
reset_v,75,1103,1
stale_m,75,1103,
stale_v,75,1103,1
stale_mv,75,1103,
model_current_optimizer_stale,75,1103,
step_counter_mismatch,75,1103,
scheduler_mismatch,75,1103,
optimizer_reset,75,1103,14
exact_restore,150,1103,
benign_nonzero,150,1103,
reset_m,150,1103,
reset_v,150,1103,1
stale_m,150,1103,
stale_v,150,1103,1
stale_mv,150,1103,
model_current_optimizer_stale,150,1103,
step_counter_mismatch,150,1103,
scheduler_mismatch,150,1103,
optimizer_reset,150,1103,16
exact_restore,300,1103,
benign_nonzero,300,1103,
reset_m,300,1103,
reset_v,300,1103,1
stale_m,300,1103,
stale_v,300,1103,
stale_mv,300,1103,
model_current_optimizer_stale,300,1103,
step_counter_mismatch,300,1103,
scheduler_mismatch,300,1103,
optimizer_reset,300,1103,16
