rewrite_name,state_components_modified,exact_transformation,numeric_severity,stale_lag_optimizer_updates,source_checkpoint_by_age,step_counter_offset,scheduler_offset,benign_perturbation,parameters_change_immediately,severity_changes_by_checkpoint_age,severity_identical_across_seeds,category,observed_T_tau_values
exact_restore,none,"Load model, optimizer, scheduler, and RNG exactly from the checkpoint.",0.0,0,{},0,0,,False,False,True,control,[]
benign_nonzero,model_state,Add 1e-8 to the first scalar of the first model-state tensor.,1e-08,0,{},0,0,"{""location"": ""first scalar of first model_state tensor"", ""magnitude"": 1e-08}",True,False,True,control,[]
reset_m,optimizer_state.exp_avg,Replace every AdamW first-moment tensor with zeros.,1.0,0,{},0,0,,False,False,True,plausible failure mode,[]
reset_v,optimizer_state.exp_avg_sq,Replace every AdamW second-moment tensor with zeros.,1.0,0,{},0,0,,False,False,True,plausible failure mode,[1]
stale_m,optimizer_state.exp_avg,Replace every AdamW first-moment tensor by the value saved 25 optimizer updates earlier.,25,25,"{""150"": ""optimizer_state_step_125.pt"", ""300"": ""optimizer_state_step_275.pt"", ""75"": ""optimizer_state_step_50.pt""}",0,0,,False,True,True,common operational transformation,[]
stale_v,optimizer_state.exp_avg_sq,Replace every AdamW second-moment tensor by the value saved 25 optimizer updates earlier.,25,25,"{""150"": ""optimizer_state_step_125.pt"", ""300"": ""optimizer_state_step_275.pt"", ""75"": ""optimizer_state_step_50.pt""}",0,0,,False,True,True,common operational transformation,[1]
stale_mv,optimizer_state.exp_avg and exp_avg_sq,Replace AdamW first- and second-moment tensors by values saved 25 optimizer updates earlier.,25,25,"{""150"": ""optimizer_state_step_125.pt"", ""300"": ""optimizer_state_step_275.pt"", ""75"": ""optimizer_state_step_50.pt""}",0,0,,False,True,True,common operational transformation,[]
model_current_optimizer_stale,entire optimizer_state,Keep current model parameters but replace the entire optimizer state by the state saved 25 updates earlier.,25,25,"{""150"": ""optimizer_state_step_125.pt"", ""300"": ""optimizer_state_step_275.pt"", ""75"": ""optimizer_state_step_50.pt""}",0,0,,False,True,True,common operational transformation,[]
step_counter_mismatch,optimizer_state.step,"Subtract 25 from every AdamW per-parameter step counter, clamped at zero.",25,25,{},-25,0,,False,False,True,plausible failure mode,[]
scheduler_mismatch,scheduler_state,"Drop scheduler state before resume, causing a fresh StepLR scheduler state to be used.",fresh StepLR scheduler state at resume,0,{},0,fresh scheduler state,,False,False,True,plausible failure mode,[]
optimizer_reset,optimizer_state,"Drop optimizer state before resume, causing a fresh AdamW state to be used.",fresh AdamW state at resume,0,{},0,0,,False,False,True,stress test,"[14, 15, 16, 17, 18]"
