rewrite_family,rows,crossed_h100,task_nonrecovered_h100,median_T_tau,max_validation_loss_gap_mean,max_parameter_divergence_mean
benign_nonzero,27,0,0,,0.00308237841099868,0.07621698290178622
exact_restore,27,0,0,,0.0,0.0
model_current_optimizer_stale,27,0,1,,0.26289161340689954,2.010945843325721
optimizer_reset,27,12,14,18.0,11.141528621131991,14.84713653281883
reset_m,27,0,0,,0.21563941461068611,1.3060755244007818
reset_v,27,27,27,1.0,76801637765.45268,68311.52606427229
scheduler_mismatch,27,0,0,,0.26741540873492203,1.5855264310483579
stale_m,27,0,1,,0.2742765067536154,1.8589292681879468
stale_mv,27,0,1,,0.32545499154079105,2.1021031919452877
stale_v,27,17,1,1.0,1.360359188951092,1755.7219633462805
step_counter_mismatch,27,0,1,,0.13970338562388485,0.704741114957465
