rewrite_family,rows,crossed_h100,task_nonrecovered_h100,median_T_tau,max_validation_loss_gap_mean,max_parameter_divergence_mean
benign_nonzero,9,0,0,,0.00912730340604442,0.9163431889481015
exact_restore,9,0,0,,0.0,0.0
model_current_optimizer_stale,9,0,0,,0.09325708724834302,4.434692197375828
optimizer_reset,9,9,9,18.0,4.321340702198169,27.44978904724121
reset_m,9,0,0,,0.0601782710463913,3.308277282449934
reset_v,9,9,9,1.0,8167495.957753632,17202.619750976562
scheduler_mismatch,9,0,0,,0.0,0.0
stale_m,9,0,0,,0.05773417596463805,3.819105479452345
stale_mv,9,0,0,,0.055679197664614044,3.806715806325277
stale_v,9,1,0,1.0,0.014100728211579459,34.673073748747505
step_counter_mismatch,9,0,0,,0.013190622682924615,1.2582419878906674
