metric,field,heldout_seed,threshold,train_tp,train_fp,train_tn,train_fn,train_sensitivity,train_specificity,train_balanced_accuracy,train_precision,train_recall,train_F1,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,F1,heldout_AUROC,heldout_AUPRC
global_normalized_parameter_divergence,max_normalized_parameter_divergence,1101,0.044519125304930254,16,9,41,0,1.0,0.82,0.9099999999999999,0.64,1.0,0.7804878048780487,5,6,22,0,1.0,0.7857142857142857,0.8928571428571428,0.45454545454545453,1.0,0.625,0.9571428571428572,0.7918181818181819
global_normalized_parameter_divergence,max_normalized_parameter_divergence,1102,0.05379354478472218,12,12,42,0,1.0,0.7777777777777778,0.8888888888888888,0.5,1.0,0.6666666666666666,8,3,21,1,0.8888888888888888,0.875,0.8819444444444444,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.962962962962963,0.880549543049543
global_normalized_parameter_divergence,max_normalized_parameter_divergence,1103,0.044519125304930254,14,9,43,0,1.0,0.8269230769230769,0.9134615384615384,0.6086956521739131,1.0,0.7567567567567568,7,6,20,0,1.0,0.7692307692307693,0.8846153846153846,0.5384615384615384,1.0,0.7000000000000001,0.9340659340659341,0.8136363636363636
clean_update_normalized_divergence,max_clean_update_normalized_divergence,1101,5.449073077149536,12,5,45,4,0.75,0.9,0.825,0.7058823529411765,0.75,0.7272727272727272,4,4,24,1,0.8,0.8571428571428571,0.8285714285714285,0.5,0.8,0.6153846153846154,0.9214285714285714,0.7443722943722944
clean_update_normalized_divergence,max_clean_update_normalized_divergence,1102,5.449073077149536,9,7,47,3,0.75,0.8703703703703703,0.8101851851851851,0.5625,0.75,0.6428571428571429,7,2,22,2,0.7777777777777778,0.9166666666666666,0.8472222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9166666666666666,0.8407857574524241
clean_update_normalized_divergence,max_clean_update_normalized_divergence,1103,1.5755296907652376,13,12,40,1,0.9285714285714286,0.7692307692307693,0.848901098901099,0.52,0.9285714285714286,0.6666666666666666,5,7,19,2,0.7142857142857143,0.7307692307692307,0.7225274725274725,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.8351648351648352,0.7061429117101385
max_layer_relative_displacement,max_layer_relative_displacement,1101,0.5042587333230462,16,8,42,0,1.0,0.84,0.9199999999999999,0.6666666666666666,1.0,0.8,5,6,22,0,1.0,0.7857142857142857,0.8928571428571428,0.45454545454545453,1.0,0.625,0.9571428571428572,0.7918181818181819
max_layer_relative_displacement,max_layer_relative_displacement,1102,0.5042587333230462,12,11,43,0,1.0,0.7962962962962963,0.8981481481481481,0.5217391304347826,1.0,0.6857142857142856,9,3,21,0,1.0,0.875,0.9375,0.75,1.0,0.8571428571428571,0.9537037037037037,0.8602453102453103
max_layer_relative_displacement,max_layer_relative_displacement,1103,0.5614457118291787,14,9,43,0,1.0,0.8269230769230769,0.9134615384615384,0.6086956521739131,1.0,0.7567567567567568,6,4,22,1,0.8571428571428571,0.8461538461538461,0.8516483516483516,0.6,0.8571428571428571,0.7058823529411764,0.9505494505494505,0.834469696969697
function_space_kl,max_calibration_kl,1101,2.549088954925537,16,7,43,0,1.0,0.86,0.9299999999999999,0.6956521739130435,1.0,0.8205128205128205,5,4,24,0,1.0,0.8571428571428571,0.9285714285714286,0.5555555555555556,1.0,0.7142857142857143,0.9785714285714285,0.8722943722943723
function_space_kl,max_calibration_kl,1102,4.815525531768799,12,8,46,0,1.0,0.8518518518518519,0.9259259259259259,0.6,1.0,0.7499999999999999,8,2,22,1,0.8888888888888888,0.9166666666666666,0.9027777777777777,0.8,0.8888888888888888,0.8421052631578948,0.9722222222222222,0.8987934904601571
function_space_kl,max_calibration_kl,1103,2.549088954925537,14,6,46,0,1.0,0.8846153846153846,0.9423076923076923,0.7,1.0,0.8235294117647058,7,5,21,0,1.0,0.8076923076923077,0.9038461538461539,0.5833333333333334,1.0,0.7368421052631579,0.967032967032967,0.8768862090290662
function_space_rms_logit,max_calibration_rms_logit,1101,3.4769115447998047,16,7,43,0,1.0,0.86,0.9299999999999999,0.6956521739130435,1.0,0.8205128205128205,5,5,23,0,1.0,0.8214285714285714,0.9107142857142857,0.5,1.0,0.6666666666666666,0.9785714285714285,0.8722943722943723
function_space_rms_logit,max_calibration_rms_logit,1102,6.731197357177734,11,2,52,1,0.9166666666666666,0.9629629629629629,0.9398148148148148,0.8461538461538461,0.9166666666666666,0.8799999999999999,6,0,24,3,0.6666666666666666,1.0,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9722222222222222,0.8987934904601571
function_space_rms_logit,max_calibration_rms_logit,1103,3.4769115447998047,14,7,45,0,1.0,0.8653846153846154,0.9326923076923077,0.6666666666666666,1.0,0.8,7,5,21,0,1.0,0.8076923076923077,0.9038461538461539,0.5833333333333334,1.0,0.7368421052631579,0.989010989010989,0.9258658008658008
