model,dataset,seed,scenario,baseline_name,delta_theta,delta_optimizer,delta_schedule,delta_time,repaired_delta,loss_probe_gap,actual_max_divergence,actual_loss_gap,predicted_safe,actual_safe,false_positive,false_negative,abstained,runtime_seconds,notes
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,exact_restore,A_param_norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,4.000003173132427e-07,threshold_theta=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,exact_restore,B_optimizer_norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,1e-06,threshold_M=0.2282
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,exact_restore,C_raw_product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0.14177270000072895,bound_raw=0 L_pred=1.0192 regime=expansive danger=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,exact_restore,D_block_normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0.14177270000072895,bound_block=0 L_pred=1.0192
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,exact_restore,E_loss_probe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.0020218999998178333,probe_steps=5 loss_thr=0.05
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,exact_restore,F_repaired_analyzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.2621889000001829,"decision=certified_safe; zero displacement (no-op): bound is identically zero; L_used=1.0202(clean=1.0192,rw=1.0202); bound=0"
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,noop_restore,A_param_norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,2.999995558639057e-07,threshold_theta=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,noop_restore,B_optimizer_norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,1e-06,threshold_M=0.2282
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,noop_restore,C_raw_product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0.14177270000072895,bound_raw=0 L_pred=1.0192 regime=expansive danger=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,noop_restore,D_block_normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0.14177270000072895,bound_block=0 L_pred=1.0192
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,noop_restore,E_loss_probe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.0019373999994058977,probe_steps=5 loss_thr=0.05
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,noop_restore,F_repaired_analyzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.26052790000085224,"decision=certified_safe; zero displacement (no-op): bound is identically zero; L_used=1.0251(clean=1.0192,rw=1.0251); bound=0"
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,A_param_norm,0.0,1.5651813745498657,0.0,0.0,0.037023723125457764,0.046769849956035614,0.15064282715320587,0.07645254675298929,True,False,False,True,False,1.0999992809956893e-06,threshold_theta=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,B_optimizer_norm,0.0,1.5651813745498657,0.0,0.0,0.037023723125457764,0.046769849956035614,0.15064282715320587,0.07645254675298929,False,False,False,False,False,1e-06,threshold_M=0.2282
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,C_raw_product,0.0,1.5651813745498657,0.0,0.0,0.037023723125457764,0.046769849956035614,0.15064282715320587,0.07645254675298929,False,False,False,False,False,0.14177270000072895,bound_raw=3.355 L_pred=1.0192 regime=expansive danger=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,D_block_normalized,0.0,1.5651813745498657,0.0,0.0,0.037023723125457764,0.046769849956035614,0.15064282715320587,0.07645254675298929,False,False,False,False,False,0.14177270000072895,bound_block=1.379 L_pred=1.0192
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,E_loss_probe,0.0,1.5651813745498657,0.0,0.0,0.037023723125457764,0.046769849956035614,0.15064282715320587,0.07645254675298929,True,False,False,True,False,0.0020866000004389207,probe_steps=5 loss_thr=0.05
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,F_repaired_analyzer,0.0,1.5651813745498657,0.0,0.0,0.037023723125457764,0.046769849956035614,0.15064282715320587,0.07645254675298929,False,False,False,False,False,0.25755130000015924,"decision=flagged_dangerous; expansive regime, bound reaches danger threshold; L_used=1.0192(clean=1.0192,rw=1.0161); bound=0.07936"
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_first_moment,A_param_norm,0.0,0.4121025502681732,0.0,0.0,0.010832934640347958,0.002810075879096985,0.049525775015354156,0.002810075879096985,True,False,False,True,False,6.000000212225132e-07,threshold_theta=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_first_moment,B_optimizer_norm,0.0,0.4121025502681732,0.0,0.0,0.010832934640347958,0.002810075879096985,0.049525775015354156,0.002810075879096985,False,False,False,False,False,1e-06,threshold_M=0.2282
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_first_moment,C_raw_product,0.0,0.4121025502681732,0.0,0.0,0.010832934640347958,0.002810075879096985,0.049525775015354156,0.002810075879096985,False,False,False,False,False,0.14177270000072895,bound_raw=0.8833 L_pred=1.0192 regime=expansive danger=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_first_moment,D_block_normalized,0.0,0.4121025502681732,0.0,0.0,0.010832934640347958,0.002810075879096985,0.049525775015354156,0.002810075879096985,False,False,False,False,False,0.14177270000072895,bound_block=0.3631 L_pred=1.0192
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_first_moment,E_loss_probe,0.0,0.4121025502681732,0.0,0.0,0.010832934640347958,0.002810075879096985,0.049525775015354156,0.002810075879096985,True,False,False,True,False,0.002030399999966903,probe_steps=5 loss_thr=0.05
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_first_moment,F_repaired_analyzer,0.0,0.4121025502681732,0.0,0.0,0.010832934640347958,0.002810075879096985,0.049525775015354156,0.002810075879096985,False,False,False,False,False,0.2592324000006556,"decision=flagged_dangerous; expansive regime, bound reaches danger threshold; L_used=1.0192(clean=1.0192,rw=1.0183); bound=0.02322"
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,A_param_norm,0.0,2.244577646255493,0.0,0.0,1.7150911092758179,98.37703265249729,4.140129089355469,98.37703265249729,True,False,False,True,False,6.000000212225132e-07,threshold_theta=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,B_optimizer_norm,0.0,2.244577646255493,0.0,0.0,1.7150911092758179,98.37703265249729,4.140129089355469,98.37703265249729,False,False,False,False,False,1e-06,threshold_M=0.2282
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,C_raw_product,0.0,2.244577646255493,0.0,0.0,1.7150911092758179,98.37703265249729,4.140129089355469,98.37703265249729,False,False,False,False,False,0.14177270000072895,bound_raw=4.811 L_pred=1.0192 regime=expansive danger=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,D_block_normalized,0.0,2.244577646255493,0.0,0.0,1.7150911092758179,98.37703265249729,4.140129089355469,98.37703265249729,False,False,False,False,False,0.14177270000072895,bound_block=0.3631 L_pred=1.0192
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,E_loss_probe,0.0,2.244577646255493,0.0,0.0,1.7150911092758179,98.37703265249729,4.140129089355469,98.37703265249729,False,False,False,False,False,0.001933399999870744,probe_steps=5 loss_thr=0.05
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,reset_second_moment,F_repaired_analyzer,0.0,2.244577646255493,0.0,0.0,1.7150911092758179,98.37703265249729,4.140129089355469,98.37703265249729,False,False,False,False,False,0.25882170000113547,"decision=flagged_dangerous; expansive regime, bound reaches danger threshold; L_used=1.7306(clean=1.0192,rw=1.7306); bound=5.78e+09"
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,scheduler_mismatch,A_param_norm,0.0,0.0,0.005416467785835266,0.0,0.005416467785835266,0.00499257817864418,0.041798628866672516,0.005014471709728241,True,False,False,True,False,5.000001692678779e-07,threshold_theta=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,scheduler_mismatch,B_optimizer_norm,0.0,0.0,0.005416467785835266,0.0,0.005416467785835266,0.00499257817864418,0.041798628866672516,0.005014471709728241,True,False,False,True,False,1e-06,threshold_M=0.2282
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,scheduler_mismatch,C_raw_product,0.0,0.0,0.005416467785835266,0.0,0.005416467785835266,0.00499257817864418,0.041798628866672516,0.005014471709728241,False,False,False,False,False,0.14177270000072895,bound_raw=0 L_pred=1.0192 regime=expansive danger=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,scheduler_mismatch,D_block_normalized,0.0,0.0,0.005416467785835266,0.0,0.005416467785835266,0.00499257817864418,0.041798628866672516,0.005014471709728241,False,False,False,False,False,0.14177270000072895,bound_block=0 L_pred=1.0192
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,scheduler_mismatch,E_loss_probe,0.0,0.0,0.005416467785835266,0.0,0.005416467785835266,0.00499257817864418,0.041798628866672516,0.005014471709728241,True,False,False,True,False,0.0020765000008395873,probe_steps=5 loss_thr=0.05
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,scheduler_mismatch,F_repaired_analyzer,0.0,0.0,0.005416467785835266,0.0,0.005416467785835266,0.00499257817864418,0.041798628866672516,0.005014471709728241,,False,False,False,True,0.26095340000028955,"decision=abstained; expansive regime but bound below danger threshold (cannot certify); L_used=1.0192(clean=1.0192,rw=1.0156); bound=0.01161"
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_shadow_present_not_loaded,A_param_norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,3.9999940781854093e-07,threshold_theta=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_shadow_present_not_loaded,B_optimizer_norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,1e-06,threshold_M=0.2282
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_shadow_present_not_loaded,C_raw_product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0.14177270000072895,bound_raw=0 L_pred=1.0192 regime=expansive danger=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_shadow_present_not_loaded,D_block_normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0.14177270000072895,bound_block=0 L_pred=1.0192
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_shadow_present_not_loaded,E_loss_probe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.002328300000044692,probe_steps=5 loss_thr=0.05
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_shadow_present_not_loaded,F_repaired_analyzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.2571772000010242,"decision=certified_safe; zero displacement (no-op): bound is identically zero; L_used=1.0204(clean=1.0192,rw=1.0204); bound=0"
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_loaded_as_parameters,A_param_norm,1.1700841188430786,0.0,0.0,0.0,1.1700841188430786,10.801208712160587,1.1700841188430786,10.801208712160587,False,False,False,False,False,5.000001692678779e-07,threshold_theta=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_loaded_as_parameters,B_optimizer_norm,1.1700841188430786,0.0,0.0,0.0,1.1700841188430786,10.801208712160587,1.1700841188430786,10.801208712160587,True,False,False,True,False,1e-06,threshold_M=0.2282
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_loaded_as_parameters,C_raw_product,1.1700841188430786,0.0,0.0,0.0,1.1700841188430786,10.801208712160587,1.1700841188430786,10.801208712160587,False,False,False,False,False,0.14177270000072895,bound_raw=2.508 L_pred=1.0192 regime=expansive danger=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_loaded_as_parameters,D_block_normalized,1.1700841188430786,0.0,0.0,0.0,1.1700841188430786,10.801208712160587,1.1700841188430786,10.801208712160587,False,False,False,False,False,0.14177270000072895,bound_block=2.508 L_pred=1.0192
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_loaded_as_parameters,E_loss_probe,1.1700841188430786,0.0,0.0,0.0,1.1700841188430786,10.801208712160587,1.1700841188430786,10.801208712160587,False,False,False,False,False,0.002001599999857717,probe_steps=5 loss_thr=0.05
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,ema_loaded_as_parameters,F_repaired_analyzer,1.1700841188430786,0.0,0.0,0.0,1.1700841188430786,10.801208712160587,1.1700841188430786,10.801208712160587,False,False,False,False,False,0.25928790000034496,"decision=flagged_dangerous; expansive regime, bound reaches danger threshold; L_used=1.0226(clean=1.0192,rw=1.0226); bound=2.863"
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,mild_lr_decrease,A_param_norm,0.0,0.0,0.005416467320173979,0.0,0.005416467320173979,0.007922060787677765,0.05845864117145538,0.010052710771560669,True,False,False,True,False,1.100000190490391e-06,threshold_theta=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,mild_lr_decrease,B_optimizer_norm,0.0,0.0,0.005416467320173979,0.0,0.005416467320173979,0.007922060787677765,0.05845864117145538,0.010052710771560669,True,False,False,True,False,1e-06,threshold_M=0.2282
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,mild_lr_decrease,C_raw_product,0.0,0.0,0.005416467320173979,0.0,0.005416467320173979,0.007922060787677765,0.05845864117145538,0.010052710771560669,False,False,False,False,False,0.14177270000072895,bound_raw=0 L_pred=1.0192 regime=expansive danger=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,mild_lr_decrease,D_block_normalized,0.0,0.0,0.005416467320173979,0.0,0.005416467320173979,0.007922060787677765,0.05845864117145538,0.010052710771560669,False,False,False,False,False,0.14177270000072895,bound_block=0 L_pred=1.0192
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,mild_lr_decrease,E_loss_probe,0.0,0.0,0.005416467320173979,0.0,0.005416467320173979,0.007922060787677765,0.05845864117145538,0.010052710771560669,True,False,False,True,False,0.002149999999346619,probe_steps=5 loss_thr=0.05
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,mild_lr_decrease,F_repaired_analyzer,0.0,0.0,0.005416467320173979,0.0,0.005416467320173979,0.007922060787677765,0.05845864117145538,0.010052710771560669,,False,False,False,True,0.25949670000136393,"decision=abstained; expansive regime but bound below danger threshold (cannot certify); L_used=1.0256(clean=1.0192,rw=1.0256); bound=0.01488"
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,A_param_norm,0.0,0.0,0.0974964126944542,0.0,0.0974964126944542,0.10603534430265427,0.33392342925071716,0.18575167283415794,True,False,False,True,False,2.999995558639057e-07,threshold_theta=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,B_optimizer_norm,0.0,0.0,0.0974964126944542,0.0,0.0974964126944542,0.10603534430265427,0.33392342925071716,0.18575167283415794,True,False,False,True,False,1e-06,threshold_M=0.2282
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,C_raw_product,0.0,0.0,0.0974964126944542,0.0,0.0974964126944542,0.10603534430265427,0.33392342925071716,0.18575167283415794,False,False,False,False,False,0.14177270000072895,bound_raw=0 L_pred=1.0192 regime=expansive danger=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,D_block_normalized,0.0,0.0,0.0974964126944542,0.0,0.0974964126944542,0.10603534430265427,0.33392342925071716,0.18575167283415794,False,False,False,False,False,0.14177270000072895,bound_block=0 L_pred=1.0192
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,E_loss_probe,0.0,0.0,0.0974964126944542,0.0,0.0974964126944542,0.10603534430265427,0.33392342925071716,0.18575167283415794,False,False,False,False,False,0.0020721000000776257,probe_steps=5 loss_thr=0.05
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,F_repaired_analyzer,0.0,0.0,0.0974964126944542,0.0,0.0974964126944542,0.10603534430265427,0.33392342925071716,0.18575167283415794,False,False,False,False,False,0.26088370000070427,"decision=flagged_dangerous; expansive regime, bound reaches danger threshold; L_used=1.3333(clean=1.0192,rw=1.3333); bound=9692"
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,optimizer_state_from_older_checkpoint,A_param_norm,0.0,5.2334442138671875,0.0,0.003636293113231659,0.0682404562830925,0.1853465661406517,0.2899182140827179,0.3325590053573251,True,False,False,True,False,1.5000005078036338e-06,threshold_theta=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,optimizer_state_from_older_checkpoint,B_optimizer_norm,0.0,5.2334442138671875,0.0,0.003636293113231659,0.0682404562830925,0.1853465661406517,0.2899182140827179,0.3325590053573251,False,False,False,False,False,1e-06,threshold_M=0.2282
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,optimizer_state_from_older_checkpoint,C_raw_product,0.0,5.2334442138671875,0.0,0.003636293113231659,0.0682404562830925,0.1853465661406517,0.2899182140827179,0.3325590053573251,False,False,False,False,False,0.14177270000072895,bound_raw=11.22 L_pred=1.0192 regime=expansive danger=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,optimizer_state_from_older_checkpoint,D_block_normalized,0.0,5.2334442138671875,0.0,0.003636293113231659,0.0682404562830925,0.1853465661406517,0.2899182140827179,0.3325590053573251,False,False,False,False,False,0.14177270000072895,bound_block=4.61 L_pred=1.0192
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,optimizer_state_from_older_checkpoint,E_loss_probe,0.0,5.2334442138671875,0.0,0.003636293113231659,0.0682404562830925,0.1853465661406517,0.2899182140827179,0.3325590053573251,False,False,False,False,False,0.002057300000160467,probe_steps=5 loss_thr=0.05
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,optimizer_state_from_older_checkpoint,F_repaired_analyzer,0.0,5.2334442138671875,0.0,0.003636293113231659,0.0682404562830925,0.1853465661406517,0.2899182140827179,0.3325590053573251,False,False,False,False,False,0.2576096000002508,"decision=flagged_dangerous; expansive regime, bound reaches danger threshold; L_used=1.0204(clean=1.0192,rw=1.0204); bound=0.1533"
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,params_current_optimizer_older,A_param_norm,0.0,5.2334442138671875,0.0,0.0,0.10239264369010925,0.37681595236063004,0.38311612606048584,0.5757124507799745,True,False,False,True,False,3.0000046535860747e-07,threshold_theta=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,params_current_optimizer_older,B_optimizer_norm,0.0,5.2334442138671875,0.0,0.0,0.10239264369010925,0.37681595236063004,0.38311612606048584,0.5757124507799745,False,False,False,False,False,1e-06,threshold_M=0.2282
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,params_current_optimizer_older,C_raw_product,0.0,5.2334442138671875,0.0,0.0,0.10239264369010925,0.37681595236063004,0.38311612606048584,0.5757124507799745,False,False,False,False,False,0.14177270000072895,bound_raw=11.22 L_pred=1.0192 regime=expansive danger=0.01694
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,params_current_optimizer_older,D_block_normalized,0.0,5.2334442138671875,0.0,0.0,0.10239264369010925,0.37681595236063004,0.38311612606048584,0.5757124507799745,False,False,False,False,False,0.14177270000072895,bound_block=4.61 L_pred=1.0192
