model,dataset,parameter_count,device,probe_trials,probe_steps,runtime_seconds,memory_mb_if_available,decision,notes
mnist_mlp,real MNIST train split,52650,cpu,1,1,0.0044928999996045604,0.632,flagged_dangerous,"L_pred=1.5012; t_step=2.3ms; resume_post_window=0.070s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
mnist_mlp,real MNIST train split,52650,cpu,3,1,0.014444000000366941,0.632,flagged_dangerous,"L_pred=1.4519; t_step=2.3ms; resume_post_window=0.070s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
mnist_mlp,real MNIST train split,52650,cpu,5,5,0.09818530000120518,0.632,flagged_dangerous,"L_pred=1.5284; t_step=2.3ms; resume_post_window=0.070s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
mnist_mlp,real MNIST train split,52650,cpu,10,10,0.40362609999829147,0.632,flagged_dangerous,"L_pred=1.3735; t_step=2.3ms; resume_post_window=0.070s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
mnist_mlp,real MNIST train split,52650,cpu,20,15,1.1972788000002765,0.632,flagged_dangerous,"L_pred=1.2995; t_step=2.3ms; resume_post_window=0.070s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
resnet18,real CIFAR-10 train split (first 256 images),11181642,cpu,1,1,1.80660429999989,134.18,flagged_dangerous,"L_pred=1.9940; t_step=754.1ms; resume_post_window=6.033s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
resnet18,real CIFAR-10 train split (first 256 images),11181642,cpu,3,1,4.887528600000223,134.18,flagged_dangerous,"L_pred=1.9685; t_step=754.1ms; resume_post_window=6.033s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
resnet18,real CIFAR-10 train split (first 256 images),11181642,cpu,5,5,35.40250120000019,134.18,flagged_dangerous,"L_pred=1.6073; t_step=754.1ms; resume_post_window=6.033s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
resnet18,real CIFAR-10 train split (first 256 images),11181642,cpu,10,10,140.96816699999908,134.18,flagged_dangerous,"L_pred=1.4060; t_step=754.1ms; resume_post_window=6.033s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
resnet18,real CIFAR-10 train split (first 256 images),11181642,cpu,20,15,412.9341703000009,134.18,flagged_dangerous,"L_pred=1.3171; t_step=754.1ms; resume_post_window=6.033s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
gpt_mini,"WikiText-2 char-level (vocab=112, first 200k chars)",85312,cpu,1,1,0.03333039999961329,1.024,flagged_dangerous,"L_pred=1.9296; t_step=10.3ms; resume_post_window=0.083s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
gpt_mini,"WikiText-2 char-level (vocab=112, first 200k chars)",85312,cpu,3,1,0.0683123999988311,1.024,flagged_dangerous,"L_pred=1.8904; t_step=10.3ms; resume_post_window=0.083s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
gpt_mini,"WikiText-2 char-level (vocab=112, first 200k chars)",85312,cpu,5,5,0.6138936000006652,1.024,flagged_dangerous,"L_pred=1.6085; t_step=10.3ms; resume_post_window=0.083s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
gpt_mini,"WikiText-2 char-level (vocab=112, first 200k chars)",85312,cpu,10,10,2.350237799999377,1.024,flagged_dangerous,"L_pred=1.4000; t_step=10.3ms; resume_post_window=0.083s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
gpt_mini,"WikiText-2 char-level (vocab=112, first 200k chars)",85312,cpu,20,15,6.180026200001521,1.024,flagged_dangerous,"L_pred=1.3117; t_step=10.3ms; resume_post_window=0.083s; memory is estimated state-tensor size (theta+m+v, fp32), not RSS"
